"Player","Age","Tm","G","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","College","FG.","X3P.","X2P.","FT.","Season"
"Chris Boucher",25,"GSW",34.5,24.7,4.35,8.25,1.1,3.15,3.3,5.05,0.598,2.1,3.3,2.2,4.5,6.75,0.4,0.6,2.7,1.05,2.7,11.95,"University of Oregon",0.527272727272727,0.349206349206349,0.653465346534653,0.636363636363636,"2017-2018"
"D.J. Wilson",22,"MIL",38,30.4,4.3,8,1.1,2.9,3.2,5.1,0.605,1.3,1.6,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9,11,"University of Michigan",0.5375,0.379310344827586,0.627450980392157,0.8125,"2017-2018"
"Dakari Johnson",23,"OKC",39,16.3,2,4,0,0,2,4,0.506,2.3,3.7,1.7,2.9,4.6,0.7,0.4,0.9,1.1,1.8,6.4,"University of Kentucky",0.5,0,0.5,0.621621621621621,"2017-2018"
"Damyean Dotson",24,"NYK",32,32.65,5.7,11.8,2.65,6.5,3.05,5.3,0.598,1.55,1.9,1.7,5.1,6.85,1.2,0.8,0.2,1,1.8,15.65,"University of Houston",0.483050847457627,0.407692307692308,0.575471698113208,0.815789473684211,"2017-2018"
"Daniel Hamilton",23,"OKC",35.5,31.65,4.2,10.95,1.3,3.85,2.9,7.05,0.4435,2,2.6,1,7.3,8.25,4.2,1,0.4,2.35,2.15,11.7,"University of Connecticut",0.383561643835616,0.337662337662338,0.411347517730496,0.769230769230769,"2017-2018"
"Davon Reed",23,"PHO",32.6666666666667,30.5333333333333,3.73333333333333,8.23333333333333,1.63333333333333,4.03333333333333,2.06666666666667,4.13333333333333,0.558,2.33333333333333,2.93333333333333,0.733333333333333,3.53333333333333,4.3,1.83333333333333,1,0.433333333333333,1.46666666666667,2,11.4,"University of Miami",0.453441295546559,0.40495867768595,0.5,0.795454545454546,"2017-2018"
"De'Aaron Fox",21,"SAC",36,29.6,5.9,12.4,0.5,1.9,5.5,10.5,0.497,4.3,5.9,0.6,3.4,3.9,4.6,1.5,0.2,2.4,2.5,16.7,"University of Kentucky",0.475806451612903,0.263157894736842,0.523809523809524,0.728813559322034,"2017-2018"
"Dennis Smith Jr.",21,"DAL",32,34.8,6,13.1,1.7,4.8,4.3,8.3,0.52,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,"North Carolina State University",0.458015267175573,0.354166666666667,0.518072289156626,0.714285714285714,"2017-2018"
"Derrick Walton",23,"MIA",30,33.9,3.63333333333333,9.3,2,5.1,1.63333333333333,4.2,0.492666666666667,3.36666666666667,4,0.433333333333333,4.5,5,4.13333333333333,1.36666666666667,0.0666666666666667,1.83333333333333,1.76666666666667,12.6,"University of Michigan",0.390681003584229,0.392156862745098,0.388888888888889,0.841666666666667,"2017-2018"
"Derrick White",24,"SAS",34,32.8,6,11.9,1.7,4.2,4.4,7.6,0.578,4.4,5.4,1,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,"University of Colorado",0.504201680672269,0.404761904761905,0.578947368421053,0.814814814814815,"2017-2018"
"Devin Robinson",23,"WAS",35,22.8333333333333,3.16666666666667,7.03333333333333,0.933333333333333,2.83333333333333,2.23333333333333,4.23333333333333,0.510333333333333,1.56666666666667,2.2,1.4,3.43333333333333,4.83333333333333,0.6,0.633333333333333,0.6,0.933333333333333,2.13333333333333,8.83333333333333,"University of Florida",0.450236966824644,0.329411764705882,0.52755905511811,0.712121212121212,"2017-2018"
"Dillon Brooks",22,"MEM",36.3333333333333,28.8,5.4,11.3666666666667,1.23333333333333,3.36666666666667,4.16666666666667,8,0.524,2.8,3.53333333333333,1.56666666666667,2.93333333333333,4.5,2.53333333333333,0.9,0.5,2.13333333333333,2.93333333333333,14.7666666666667,"University of Oregon",0.475073313782991,0.366336633663366,0.520833333333333,0.792452830188679,"2017-2018"
"Donovan Mitchell",22,"UTA",32.5,25.7,4,9.6,1.5,4.45,2.55,5.1,0.4935,2,2.5,1.1,3.05,4.15,2.2,1.45,0.3,1.3,2.55,11.5,"University of Louisville",0.416666666666667,0.337078651685393,0.5,0.8,"2017-2018"
"Dwayne Bacon",23,"CHO",34.5,28.8,6.05,13.5,1.25,4.15,4.8,9.35,0.4965,3.1,4.2,1.2,3.8,5,1.6,1,0.05,2.1,1.85,16.5,"Florida State University",0.448148148148148,0.301204819277108,0.513368983957219,0.738095238095238,"2017-2018"
"Edmond Sumner",23,"IND",26.5,28.8,3.95,8.95,0.65,2.35,3.25,6.6,0.4765,4.1,5.6,0.5,3.3,3.8,4.2,1.25,0.45,2.35,2.3,12.65,"Xavier University",0.441340782122905,0.276595744680851,0.492424242424242,0.732142857142857,"2017-2018"
