"Pick","Team","Player","College","Year"
"25","SAC","Gerald Wallace","University of Alabama","2001"
"26","PHI","Samuel Dalembert","Seton Hall University","2001"
"27","MEM","Jamaal Tinsley","Iowa State University","2001"
"28","SAS","Tony Parker","","2001"
"Minnesota forfeited the 29th overall pick.","Minnesota forfeited the 29th overall pick.","Minnesota forfeited the 29th overall pick.","Minnesota forfeited the 29th overall pick.","2001"
"30","CHI","Trenton Hassell","Austin Peay State University","2001"
"31","GSW","Gilbert Arenas","University of Arizona","2001"
"32","ORL","Omar Cook","St. John's University","2001"
"33","MEM","Will Solomon","Clemson University","2001"
"34","ATL","Terence Morris","University of Maryland","2001"
"35","NJN","Brian Scalabrine","University of Southern California","2001"
"36","CLE","Jeff Trepagnier","University of Southern California","2001"
"37","PHI","Damone Brown","Syracuse University","2001"
"38","DET","Mehmet Okur","","2001"
"39","NYK","Michael Wright","University of Arizona","2001"
"40","SEA","Earl Watson","University of California, Los Angeles","2001"
"41","IND","Jamison Brewer","Auburn University","2001"
"42","SEA","Bobby Simmons","DePaul University","2001"
"43","NYK","Eric Chenowith","University of Kansas","2001"
"44","DAL","Kyle Hill","Eastern Illinois University","2001"
"45","CHI","Sean Lampley","University of California","2001"
"46","MIN","Loren Woods","University of Arizona","2001"
"47","DEN","Ousmane Cisse","","2001"
"48","MEM","Antonis Fotsis","","2001"
"49","MIA","Ken Johnson","Ohio State University","2001"
"50","POR","Ruben Boumtje-Boumtje","Georgetown University","2001"
"51","PHO","Alton Ford","University of Houston","2001"
"52","MIL","Andre Hutson","Michigan State University","2001"
"53","UTA","Jarron Collins","Stanford University","2001"
"54","DAL","Kenny Satterfield","University of Cincinnati","2001"
"55","SAC","Maurice Jeffers","Saint Louis University","2001"
"56","SAS","Robertas Javtokas","","2001"
"57","PHI","Alvin Jones","Georgia Institute of Technology","2001"
"58","SAS","Bryan Bracey","University of Oregon","2001"
"1","HOU","Yao Ming","","2002"
"2","CHI","Jay Williams","Duke University","2002"
"3","GSW","Mike Dunleavy","Duke University","2002"
"4","MEM","Drew Gooden","University of Kansas","2002"
"5","DEN","Nikoloz Tskitishvili","","2002"
"6","CLE","Dajuan Wagner","University of Memphis","2002"
"7","NYK","Nene Hilario","","2002"
"8","LAC","Chris Wilcox","University of Maryland","2002"
"9","PHO","Amar'e Stoudemire","","2002"
"10","MIA","Caron Butler","University of Connecticut","2002"
"11","WAS","Jared Jeffries","Indiana University","2002"
"12","LAC","Melvin Ely","California State University, Fresno","2002"
"13","MIL","Marcus Haislip","University of Tennessee","2002"
"14","IND","Fred Jones","University of Oregon","2002"
"15","HOU","Bostjan Nachbar","","2002"
"16","PHI","Jiri Welsch","","2002"
"17","WAS","Juan Dixon","University of Maryland","2002"
"18","ORL","Curtis Borchardt","Stanford University","2002"
"19","UTA","Ryan Humphrey","University of Notre Dame","2002"
"20","TOR","Kareem Rush","University of Missouri","2002"
"21","POR","Qyntel Woods","Northeast Mississippi Community College","2002"
"22","PHO","Casey Jacobsen","Stanford University","2002"
"23","DET","Tayshaun Prince","University of Kentucky","2002"
"24","NJN","Nenad Krstic","","2002"
"25","DEN","Frank Williams","University of Illinois at Urbana-Champaign","2002"
"26","SAS","John Salmons","University of Miami","2002"
"27","LAL","Chris Jefferies","California State University, Fresno","2002"
"28","SAC","Dan Dickau","Gonzaga University","2002"
"Minnesota forfeited the 29th overall pick.","Minnesota forfeited the 29th overall pick.","Minnesota forfeited the 29th overall pick.","Minnesota forfeited the 29th overall pick.","2002"
"30","GSW","Steve Logan","University of Cincinnati","2002"
"31","CHI","Roger Mason","University of Virginia","2002"
"32","MEM","Robert Archibald","University of Illinois at Urbana-Champaign","2002"
"33","DEN","Vincent Yarbrough","University of Tennessee","2002"
"34","MIL","Dan Gadzuric","University of California, Los Angeles","2002"
"35","CLE","Carlos Boozer","Duke University","2002"
"36","NYK","Milos Vujanic","","2002"
"37","ATL","David Andersen","","2002"
"38","HOU","Tito Maddox","California State University, Fresno","2002"
"39","WAS","Rod Grizzard","University of Alabama","2002"
"40","WAS","Juan Carlos Navarro","","2002"
"41","LAC","Mario Kasun","","2002"
"42","MIL","Ronald Murray","Shaw University","2002"
"43","POR","Jason Jennings","Arkansas State University","2002"
"44","CHI","Lonny Baxter","University of Maryland","2002"
"45","PHI","Sam Clancy","University of Southern California","2002"
"46","MEM","Matt Barnes","University of California, Los Angeles","2002"
"47","UTA","Jamal Sampson","University of California","2002"
"48","MIL","Chris Owens","University of Texas at Austin","2002"
"49","SEA","Peter Fehse","","2002"
"50","BOS","Darius Songaila","Wake Forest University","2002"
"51","POR","Federico Kammerichs","","2002"
"52","MIN","Marcus Taylor","Michigan State University","2002"
"53","MIA","Rasual Butler","La Salle University","2002"
"54","NJN","Tamar Slay","Marshall University","2002"
"55","DAL","Mladen Sekularac","","2002"
"56","SAS","Luis Scola","","2002"
"57","SAS","Randy Holcomb","San Diego State University","2002"
"58","SAC","Corsley Edwards","Central Connecticut State University","2002"
"1","CLE","LeBron James","","2003"
"2","DET","Darko Milicic","","2003"
"3","DEN","Carmelo Anthony","Syracuse University","2003"
"4","TOR","Chris Bosh","Georgia Institute of Technology","2003"
"5","MIA","Dwyane Wade","Marquette University","2003"
"6","LAC","Chris Kaman","Central Michigan University","2003"
"7","CHI","Kirk Hinrich","University of Kansas","2003"
"8","MIL","T.J. Ford","University of Texas at Austin","2003"
"9","NYK","Mike Sweetney","Georgetown University","2003"
"10","WAS","Jarvis Hayes","University of Georgia","2003"
"11","GSW","Mickael Pietrus","","2003"
"12","SEA","Nick Collison","University of Kansas","2003"
"13","MEM","Marcus Banks","University of Nevada, Las Vegas","2003"
"14","SEA","Luke Ridnour","University of Oregon","2003"
"15","ORL","Reece Gaines","University of Louisville","2003"
"16","BOS","Troy Bell","Boston College","2003"
"17","PHO","Zarko Cabarkapa","","2003"
"18","NOH","David West","Xavier University","2003"
"19","UTA","Sasha Pavlovic","","2003"
"20","BOS","Dahntay Jones","Duke University","2003"
"21","ATL","Boris Diaw","","2003"
"22","NJN","Zoran Planinic","","2003"
"23","POR","Travis Outlaw","","2003"
"24","LAL","Brian Cook","University of Illinois at Urbana-Champaign","2003"
"25","DET","Carlos Delfino","","2003"
"26","MIN","Ndudi Ebi","","2003"
"27","MEM","Kendrick Perkins","","2003"
"28","SAS","Leandro Barbosa","","2003"
"29","DAL","Josh Howard","Wake Forest University","2003"
"30","NYK","Maciej Lampe","","2003"
"31","CLE","Jason Kapono","University of California, Los Angeles","2003"
"32","LAL","Luke Walton","University of Arizona","2003"
