"Player","Pos","Season","Age","Tm","P2Per","P3Per","FTPer","effMin","eff3PA","eff2PA","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Tony Parker","PG","2006-2007",24,"SAS",0.525,0.395,0.783,0.634908536585366,0.0152060824329732,0.423369347739096,0.140056022408964,0.0136054421768707,0.0864345738295318,0.100040016006403,0.168067226890756,0.0328131252501,0.00240096038415366,0.0764305722288916,0.0548219287715086,0.571828731492597,-14.3937518695942,-27.0073166975694
"Ruben Patterson","SF","2006-2007",31,"MIL",0.557,0.158,0.641,0.63719512195122,0.00757575757575758,0.338118022328549,0.149920255183413,0.0757575757575758,0.0996810207336523,0.175438596491228,0.0925039872408294,0.043859649122807,0.00996810207336523,0.0793460925039872,0.0925039872408294,0.476076555023923,-8.32589655644209,6.19784499633279
"Chris Paul","PG","2006-2007",21,"NOK",0.455,0.35,0.818,0.597815040650406,0.0607734806629834,0.30939226519337,0.151721206969826,0.0229494262643434,0.0960475988100297,0.118997025074373,0.241818954526137,0.050148746281343,0.00127496812579686,0.0684232894177646,0.0654483637909052,0.469188270293243,-2.80395894508236,-31.0556885555868
"Sasha Pavlovic","SG","2006-2007",23,"CLE",0.474,0.405,0.794,0.389735772357724,0.0964797913950456,0.222946544980443,0.0821382007822686,0.014993481095176,0.0880052151238592,0.102998696219035,0.0684485006518905,0.0358539765319426,0.0110821382007823,0.0664928292046936,0.0945241199478488,0.39374185136897,5.89327883456578,-6.83927483876902
"Gary Payton","PG","2006-2007",38,"MIA",0.461,0.26,0.667,0.381859756097561,0.0818363273453094,0.161676646706587,0.0379241516966068,0.0119760479041916,0.0758483033932136,0.0878243512974052,0.13373253493014,0.0286094477711244,0.00199600798403194,0.0439121756487026,0.0778443113772455,0.238190286094478,-2.23482959205574,-22.7733099793978
"Kendrick Perkins","C","2006-2007",22,"BOS",0.496,0,0.6,0.400406504065041,0.00190355329949239,0.168781725888325,0.0634517766497462,0.0717005076142132,0.164340101522843,0.236040609137056,0.0596446700507614,0.0145939086294416,0.0609137055837563,0.0717005076142132,0.135786802030457,0.205583756345178,-22.7771534533028,5.08144135441546
"Morris Peterson","SF","2006-2007",29,"TOR",0.523,0.359,0.683,0.384908536585366,0.194719471947195,0.146534653465347,0.0811881188118812,0.0211221122112211,0.135313531353135,0.156435643564356,0.031023102310231,0.0297029702970297,0.00792079207920792,0.034983498349835,0.0831683168316832,0.418481848184818,25.5351080187718,14.3147110766241
"Johan Petro","C","2006-2007",21,"SEA",0.516,0,0.649,0.383638211382114,0,0.290066225165563,0.0509933774834437,0.0609271523178808,0.160927152317881,0.221854304635762,0.0298013245033113,0.0258278145695364,0.0311258278145695,0.0543046357615894,0.156953642384106,0.332450331125828,-18.1054708204712,12.0178025770658
"Paul Pierce","SG","2006-2007",29,"BOS",0.463,0.389,0.796,0.442073170731707,0.158045977011494,0.330459770114943,0.231034482758621,0.0224137931034483,0.136781609195402,0.159195402298851,0.111494252873563,0.0275862068965517,0.00747126436781609,0.0873563218390805,0.0701149425287356,0.674137931034483,-15.2063575099631,-17.2487479236726
"Mickael Pietrus","SF","2006-2007",24,"GSW",0.558,0.388,0.648,0.492123983739837,0.123902942694889,0.178626742385132,0.108415074858028,0.041817243159525,0.127000516262261,0.168817759421786,0.0320082601961797,0.0247805885389778,0.0283944243675787,0.0542075374290139,0.113577697470315,0.413526071244192,26.7884586211033,15.2277974488237
"James Posey","SF","2006-2007",30,"MIA",0.514,0.375,0.827,0.48755081300813,0.134966128191767,0.0901511203751954,0.051068264721209,0.0343929129755081,0.151641479937467,0.186034392912976,0.0489838457529964,0.0369984366857738,0.0119854090672225,0.0286607608129234,0.100573215216258,0.286607608129234,18.2712723437161,14.6158857691791
"Leon Powe","C","2006-2007",23,"BOS",0.451,0,0.736,0.182926829268293,0.00277777777777778,0.243055555555556,0.2,0.134722222222222,0.163888888888889,0.298611111111111,0.0138888888888889,0.0194444444444444,0.0305555555555556,0.0652777777777778,0.144444444444444,0.366666666666667,-9.86741315171589,25.0427331586321
"Tayshaun Prince","SF","2006-2007",26,"DET",0.48,0.386,0.768,0.76244918699187,0.0699766744418527,0.262245918027324,0.0746417860713096,0.0479840053315561,0.0949683438853715,0.142952349216928,0.0756414528490503,0.0169943352215928,0.0183272242585805,0.0326557814061979,0.0386537820726425,0.390203265578141,-6.6543699988698,0.839653885302793
"Joel Przybilla","C","2006-2007",27,"POR",0.474,0,0.37,0.178099593495935,0,0.111269614835949,0.0385164051355207,0.0841654778887304,0.155492154065621,0.239657631954351,0.0171184022824536,0.014265335235378,0.0955777460770328,0.0570613409415121,0.176890156918688,0.119828815977175,-36.650565631271,0.377700077670548
"Vladimir Radmanovic","PF","2006-2007",26,"LAL",0.475,0.339,0.726,0.250508130081301,0.119675456389452,0.200811359026369,0.0740365111561866,0.0537525354969574,0.128803245436105,0.182555780933063,0.0669371196754564,0.0253549695740365,0.0182555780933063,0.0699797160243408,0.126774847870183,0.366125760649087,14.0684650531503,-10.4693132655357
"Zach Randolph","PF","2006-2007",25,"POR",0.473,0.292,0.819,0.616107723577236,0.0197938144329897,0.510515463917526,0.198350515463918,0.0820618556701031,0.201649484536082,0.283711340206186,0.0606185567010309,0.0218556701030928,0.00618556701030928,0.088659793814433,0.0758762886597938,0.663092783505155,-3.92990229052948,16.1313467369736
"Allan Ray","SG","2006-2007",22,"BOS",0.364,0.414,0.764,0.180386178861789,0.163380281690141,0.201408450704225,0.0774647887323944,0.0253521126760563,0.071830985915493,0.0971830985915493,0.0605633802816901,0.028169014084507,0.00422535211267606,0.0591549295774648,0.119718309859155,0.408450704225352,32.5061152620365,-1.272709328496
"Michael Redd","SF","2006-2007",27,"MIL",0.501,0.382,0.829,0.517276422764228,0.150294695481336,0.353143418467583,0.204322200392927,0.0206286836935167,0.0756385068762279,0.0962671905697446,0.0609037328094302,0.030943025540275,0.00442043222003929,0.0599214145383104,0.0383104125736739,0.695481335952849,18.6008843819378,-10.2872977514291
"J.J. Redick","PG","2006-2007",22,"ORL",0.433,0.388,0.9,0.158028455284553,0.157556270096463,0.155948553054662,0.0964630225080386,0.0160771704180064,0.067524115755627,0.0836012861736334,0.0578778135048231,0.0192926045016077,0,0.0337620578778135,0.0836012861736334,0.405144694533762,26.0824640788709,-9.83956516477367
"Jason Richardson","SG","2006-2007",26,"GSW",0.453,0.365,0.657,0.425558943089431,0.179701492537313,0.258507462686567,0.0835820895522388,0.0423880597014925,0.112238805970149,0.154626865671642,0.102686567164179,0.0322388059701493,0.0191044776119403,0.048955223880597,0.0770149253731343,0.485970149253731,29.2154037816493,12.0974143621398
"Quentin Richardson","SF","2006-2007",26,"NYK",0.456,0.376,0.692,0.411839430894309,0.15916101172116,0.177051202961135,0.0740283775447255,0.040098704503393,0.177051202961135,0.217149907464528,0.0666255397902529,0.0222085132634176,0.00431832202344232,0.0431832202344232,0.0820481184454041,0.392350400987045,21.1248587854982,8.88118910744194
"Luke Ridnour","PG","2006-2007",25,"SEA",0.453,0.353,0.805,0.53125,0.0664753706360593,0.265901482544237,0.0760401721664275,0.0133907221425155,0.0650406504065041,0.0784313725490196,0.175992348158776,0.0396939263510282,0.00908656145384983,0.0746054519368723,0.0865614538498326,0.372549019607843,0.968638636138039,-15.7806950084387
"Lawrence Roberts","PF","2006-2007",24,"MEM",0.456,0,0.725,0.246189024390244,0.00206398348813209,0.212590299277606,0.135190918472652,0.104231166150671,0.165118679050568,0.269349845201238,0.0309597523219814,0.0371517027863777,0.0134158926728586,0.0371517027863777,0.137254901960784,0.292053663570691,-10.3838578657372,23.3190316486334
"Clifford Robinson","C","2006-2007",40,"NJN",0.368,0.379,0.444,0.242632113821138,0.0691099476439791,0.159162303664921,0.037696335078534,0.0324607329842932,0.0952879581151832,0.127748691099476,0.0534031413612565,0.012565445026178,0.0240837696335079,0.031413612565445,0.10261780104712,0.212565445026178,33.5118312357809,7.68744137189747
"Nate Robinson","PG","2006-2007",22,"NYK",0.465,0.39,0.777,0.344512195121951,0.157079646017699,0.228613569321534,0.102507374631268,0.0405604719764012,0.0715339233038348,0.112094395280236,0.0663716814159292,0.0368731563421829,0.00442477876106195,0.0530973451327434,0.117994100294985,0.475663716814159,17.030523725369,-2.57948022686953
"Sergio Rodriguez","PG","2006-2007",20,"POR",0.5,0.282,0.808,0.21900406504065,0.0986078886310905,0.178654292343387,0.0301624129930394,0.0232018561484919,0.0823665893271462,0.105568445475638,0.252900232018561,0.0406032482598608,0.00232018561484919,0.0893271461716937,0.0835266821345708,0.286542923433875,5.53257222864218,-20.8869433216383
"Rajon Rondo","PG","2006-2007",20,"BOS",0.432,0.207,0.647,0.465193089430894,0.0158383397050792,0.22992900054615,0.100491534680502,0.0404150737302021,0.119060622610595,0.159475696340797,0.162206444565811,0.0699071545603495,0.00436919716002185,0.0748225013653741,0.0988530857454943,0.273620972146368,-10.7595401635365,-28.5572348493722
"Malik Rose","PF","2006-2007",32,"NYK",0.404,0.25,0.808,0.205792682926829,0.00987654320987654,0.219753086419753,0.0641975308641975,0.0580246913580247,0.158024691358025,0.216049382716049,0.0802469135802469,0.0320987654320988,0.0111111111111111,0.0802469135802469,0.148148148148148,0.237037037037037,-20.6266499835612,8.2262376550562
"Quinton Ross","SG","2006-2007",25,"LAC",0.474,0.2,0.782,0.431910569105691,0.00588235294117647,0.217058823529412,0.0511764705882353,0.0352941176470588,0.0764705882352941,0.111764705882353,0.0505882352941176,0.0411764705882353,0.0188235294117647,0.0194117647058824,0.105294117647059,0.249411764705882,-1.88834192838634,-7.48410353519865
"Brandon Roy","SG","2006-2007",22,"POR",0.475,0.377,0.838,0.511941056910569,0.0724565756823821,0.307196029776675,0.119602977667494,0.0287841191066998,0.0952853598014888,0.124069478908189,0.114143920595533,0.0332506203473945,0.00496277915632754,0.0575682382133995,0.0689826302729529,0.47394540942928,-0.462031621339949,-7.43590522851078
