"Player","Pos","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Tm"
"Jeremy Senglin",NA,"2017-2018",NA,0.464751958224543,0.417061611374408,0.514450867052023,0.572666666666667,0.738562091503268,0.00891768292682927,0.169040835707502,0.363722697056031,0.0835707502374168,0.200379867046534,0.0845204178537513,0.164292497625831,0.107312440645774,0.145299145299145,0.00949667616334282,0.090218423551757,0.101614434947768,0.0864197530864197,0.0275403608736942,0.000949667616334282,0.0683760683760684,0.0579297245963912,0.526115859449194,"BRK"
"Jerian Grant","PG","2017-2018",25,0.400726924164424,0.300213336120401,0.506615671641791,0.477331996189139,0.900819655259009,0.00306356939613643,0.119080256394593,0.306404290393354,0.0501069474382358,0.168022074460765,0.0797736574665187,0.155490771638203,0.0584922973726655,0.0689095470503846,0.0189398087949105,0.0901203158680152,0.109913785835331,0.113410964645627,0.0458267124486449,0.00482684700476111,0.0457291697146443,0.0958187017003851,0.350001381749848,"CHI"
"Jerryd Bayless","PG","2017-2018",29,0.334116450546656,0.419374070874293,0.323479228115087,0.364293092845789,0.916052887735237,0.00556349829820874,0.163882981443146,0.475544441444439,0.0367046577190778,0.0812815598877572,0.124232473025771,0.398466550274143,0.113175042911617,0.123911780388114,0.0456678272592516,0.10695157546323,0.151791008530292,0.154645143978089,0,0,0.104285374115035,0.0496250656435386,0.486695203858177,"PHI"
"Jimmy Butler","SF","2017-2018",28,0.464140625,0.344369973190349,0.48654,0.507185185185185,0.834881615598886,0.00978634694704719,0.192620130738943,0.404435957696827,0.0324324324324324,0.107392760887635,0.135513476054017,0.296734310009327,0.197702702702703,0.222165915915916,0.0363738738738739,0.13794354170121,0.171963630296964,0.163233798314443,0.053003746320578,0.0105786768363455,0.0585830880385336,0.0432554175797419,0.610368618131435,"MIN"
"Joakim Noah","C","2017-2018",32,0.513249180679956,0,0.514449152542373,0.513249180679956,0.45841421998957,0.00526040829381445,0.0901220971233921,0.192527075864145,0,0,0.0901220971233921,0.18614109936755,0.0393316250236598,0.0841253869809935,0.140528368364108,0.213389980117921,0.362128231803762,0.100984250008711,0.0253033730974907,0.0390136484932865,0.0676430187459599,0.146986847410628,0.214808456803953,"NYK"
"Jodie Meeks","SG","2017-2018",30,0.408986836080586,0.416349294235767,0.395168107272161,0.528203255725359,0.865717954978068,0.00554357743876367,0.138129136538111,0.33964321519366,0.0846813400925207,0.190393311507061,0.0603121683072076,0.153593413069953,0.0796271678226076,0.094799194985134,0.00495890223508158,0.105204409599986,0.110057176949501,0.069843352575163,0.0402730417746475,0.00458535795909828,0.0496940466722466,0.0523868391487267,0.442614122293988,"WAS"
"Joe Harris","SG","2017-2018",26,0.451272727272727,0.283863636363636,0.489931818181818,0.501613636363636,0.744636363636364,0.00643592941611234,0.17288713439799,0.380315808361744,0.0415395657635026,0.115018840839763,0.131706441772833,0.265476404091154,0.0853220886416652,0.111250672887134,0.0413601291943298,0.154315449488606,0.195585860398349,0.123272923021712,0.0343621029965907,0.0214426700161493,0.0660326574555894,0.0866678629104611,0.473443387762426,"BRK"
"Joe Ingles","SF","2017-2018",30,0.455267469879518,0.405979411764706,0.437115107913669,0.568354639175258,0.750123456790123,0.00508130081300813,0.109375,0.264509259259259,0.0589203423304806,0.141333333333333,0.051211219719507,0.126214318600368,0.0289272030651341,0.0324796665994488,0.0123666666666667,0.115846560846561,0.128557820537245,0.123926470588235,0.039030612244898,0.00416666666666667,0.0515160484083136,0.07,0.277826086956522,"UTA"
"Joe Johnson","SF","2017-2018",36,0.408091512082347,0.404665540540541,0.407243646022072,0.498704340256379,0.808428540833591,0.00425505714440915,0.131761708374059,0.320346338035075,0.0472907036466358,0.127274167482035,0.0819876783673858,0.184078179492614,0.0317607026868475,0.0407199865946152,0.0163640840374268,0.114909895114016,0.128084203104744,0.0848089360195898,0.0231010347546624,0.00918065093110183,0.0394310125180016,0.0586738365624593,0.343453829612159,"UTA"
"Joe Young","PG","2017-2018",25,0.419842105263158,0.320017543859649,0.465140350877193,0.483631578947368,0.715614035087719,0.00480227499643418,0.14692778912196,0.337571932429924,0.0449229626879525,0.126044180434379,0.102190458511231,0.210970855763876,0.0567105995916094,0.0763875997772415,0.0360126229812512,0.126415444588825,0.162149619454242,0.0670131798774828,0.0301652125487284,0.0166140709114535,0.0422312975682198,0.07629478373863,0.394468164098756,"IND"
"Joel Anthony","C","2017-2018",35,0.629875371990463,0,0.627894343117697,0.629875371990463,0.624810344827586,0.00136416011490372,0.0646375071110028,0.101220346241155,0,0,0.0646375071110028,0.101220346241155,0.056107005043753,0.071854505029809,0.0496959618356514,0.166396402310924,0.221127028397566,0.0231117008644438,0.0168460591881381,0.0452641670892495,0.0313333895704867,0.112709216569511,0.186958506846414,"MIL"
"Joel Bolomboy","PF","2017-2018",24,0.46919298245614,0.243421052631579,0.510982456140351,0.510438596491228,0.614087719298246,0.00450631151048353,0.154401582591494,0.326211671612265,0.0303659742828882,0.0902077151335312,0.124727992087043,0.236102868447082,0.061028684470821,0.0864490603363007,0.0492581602373887,0.132245301681503,0.181305637982196,0.0735905044510386,0.0300692383778437,0.0281899109792285,0.0484668644906034,0.0897131552917903,0.4,"UTA"
"Joel Embiid","C","2017-2018",23,0.454769454123113,0.367,0.486681871118012,0.496286953443087,0.752182459893048,0.00667961358939545,0.259745328744145,0.548127860702943,0.047244094488189,0.125984251968504,0.211792344975995,0.426161621677371,0.252859186880843,0.347082891490502,0.06823980160859,0.225105893379251,0.285712658608403,0.0818279132034524,0.0394744024203786,0.118057256150397,0.157882187803448,0.13978609923963,0.801162340072717,"PHI"
"Joffrey Lauvergne","PF-C","2017-2018",26,0.440995475113122,0.337,0.487989669421488,0.494775828460039,0.622005076142132,0.00294439122638961,0.144726766446223,0.326566134595332,0.0407961603613777,0.108373983739837,0.105361945008507,0.220986417128231,0.0472222222222222,0.0642722117202268,0.0640394088669951,0.199524092801904,0.246681592344967,0.0855643606768045,0.0264705882352941,0.00650887573964497,0.0697318007662835,0.0847189307043322,0.373702422145329,"SAS"
"John Collins",NA,"2017-2018",NA,0.598765432098765,0,0.598765432098765,0.5845,0.731958762886598,0.00520833333333333,0.236585365853659,0.395121951219512,0,0,0.236585365853659,0.395121951219512,0.173170731707317,0.236585365853659,0.134146341463415,0.204878048780488,0.334146341463415,0.0170731707317073,0.0219512195121951,0.0560975609756098,0.0682926829268293,0.136585365853659,0.646341463414634,"ATL"
"John Henson","C","2017-2018",27,0.549407327586207,0,0.548111587982833,0.55051724137931,0.687207756232687,0.0045803564096247,0.135782381991472,0.265203711949097,0,0,0.135782381991472,0.267275615948699,0.0687322640899458,0.0947369497627229,0.0845232759172697,0.201820791946389,0.29050588891417,0.0585393987455843,0.0318350515463918,0.0626227295041728,0.0462586069159661,0.14116278318198,0.352488474098739,"MIL"
"John Wall","PG","2017-2018",27,0.448304780876494,0.323719063545151,0.48,0.478883620689655,0.779848450057405,0.00899678811602931,0.248156503569495,0.536693723404687,0.0302197802197802,0.0961538461538462,0.204575971141321,0.43540439366416,0.148697802197802,0.186386185243328,0.019767668879344,0.0996720828120393,0.123031610786365,0.273347014387129,0.0590857795074898,0.017435452085908,0.1075119133948,0.0495991519247333,0.666452319216364,"WAS"
"Johnny O'Bryant","PF","2017-2018",24,0.508064516129032,0.498554913294798,0.527724665391969,0.567564870259481,0.886145631067961,0.00171200750469043,0.183478880389756,0.386939564867043,0.0410958904109589,0.0684931506849315,0.144161977449094,0.315284089891664,0.0861237950279046,0.0680546542016733,0.110916890136053,0.117904688404399,0.232978183663115,0.0793321341266547,0,0.00895029205531489,0.073417494851822,0.119989852866565,0.496163296099068,"CHO"
"Jon Leuer","PF","2017-2018",28,0.4519176201373,0.293,0.530349462365591,0.507825620389001,0.893780322003578,0.00577627040411225,0.140261520246542,0.32063794425987,0.027027027027027,0.084942084942085,0.111765325832604,0.202662897565291,0.064898972173695,0.0781304158527381,0.0607495250352393,0.142594509071077,0.224913496385889,0.079378426880618,0.0133684705113277,0.0123069498069498,0.0359370525014697,0.0791484257741926,0.353642758824428,"DET"
"Jonas Jerebko","PF","2017-2018",30,0.437284320190977,0.341682448197322,0.530878559392982,0.518152541759415,0.699962666574232,0.00367347770989525,0.0887212448704866,0.196466877999001,0.030922991464501,0.0933795099998305,0.0548832265903645,0.101471554673706,0.0183140613979732,0.0295145977950184,0.0477217638273388,0.179277657854099,0.218544511491881,0.0531864679765882,0.0194341846393704,0.0117745402436112,0.0294800204787869,0.0917902447967687,0.22868632840513,"UTA"
