"Team","W","L","PTS","PTSA","SRS","Season"
"Cleveland Cavaliers",29,53,107.8,110.6,-2.19,"1985-1986"
"Indiana Pacers",26,56,103.9,107.2,-2.66,"1985-1986"
"Houston Rockets",51,31,114.4,111.8,2.1,"1985-1986"
"Denver Nuggets",47,35,114.8,113.5,0.89,"1985-1986"
"Dallas Mavericks",44,38,115.3,114.2,0.7,"1985-1986"
"Utah Jazz",42,40,108.2,108.5,-0.67,"1985-1986"
"Sacramento Kings",37,45,108.8,111.9,-3.19,"1985-1986"
"San Antonio Spurs",35,47,111.2,113.1,-2.06,"1985-1986"
"Los Angeles Lakers",62,20,117.3,109.5,6.84,"1985-1986"
"Portland Trail Blazers",40,42,115.1,114,0.61,"1985-1986"
"Phoenix Suns",32,50,110,113,-3.16,"1985-1986"
"Los Angeles Clippers",32,50,108.6,115.5,-6.83,"1985-1986"
"Seattle SuperSonics",31,51,104.4,104.5,-0.47,"1985-1986"
"Golden State Warriors",30,52,113.4,116.9,-3.59,"1985-1986"
"Boston Celtics",59,23,112.6,106,6.57,"1986-1987"
"Philadelphia 76ers",45,37,106.5,106.6,0.11,"1986-1987"
"Washington Bullets",42,40,106,107.3,-1.02,"1986-1987"
"New Jersey Nets",24,58,108.5,113.5,-4.42,"1986-1987"
"New York Knicks",24,58,103.8,110,-5.42,"1986-1987"
"Atlanta Hawks",57,25,110,102.8,7.18,"1986-1987"
"Detroit Pistons",52,30,111.2,107.8,3.51,"1986-1987"
"Milwaukee Bucks",50,32,110.4,106.5,4.04,"1986-1987"
"Indiana Pacers",41,41,106.1,106.7,-0.17,"1986-1987"
"Chicago Bulls",40,42,104.8,103.9,1.26,"1986-1987"
"Cleveland Cavaliers",31,51,104.4,108.2,-3.19,"1986-1987"
"Dallas Mavericks",55,27,116.7,110.4,5.54,"1986-1987"
"Utah Jazz",44,38,107.9,107.5,0.04,"1986-1987"
"Houston Rockets",42,40,106.9,105.9,0.6,"1986-1987"
"Denver Nuggets",37,45,116.7,117.6,-1.14,"1986-1987"
"Sacramento Kings",29,53,110.9,114.1,-3.34,"1986-1987"
"San Antonio Spurs",28,54,108.3,113.4,-5.09,"1986-1987"
"Los Angeles Lakers",65,17,117.8,108.5,8.32,"1986-1987"
"Portland Trail Blazers",49,33,117.9,114.8,2.57,"1986-1987"
"Golden State Warriors",42,40,112,114.4,-2.54,"1986-1987"
"Seattle SuperSonics",39,43,113.7,113.3,0.08,"1986-1987"
"Phoenix Suns",36,46,111.1,113.5,-2.63,"1986-1987"
"Los Angeles Clippers",12,70,104.5,115.9,-11,"1986-1987"
"Boston Celtics",57,25,113.6,107.7,6.15,"1987-1988"
"Washington Bullets",38,44,105.5,106.3,-0.16,"1987-1988"
"New York Knicks",38,44,105.5,106,0.14,"1987-1988"
"Philadelphia 76ers",36,46,105.7,107.1,-0.79,"1987-1988"
"New Jersey Nets",19,63,100.4,108.5,-6.98,"1987-1988"
"Detroit Pistons",54,28,109.2,104.1,5.46,"1987-1988"
"Chicago Bulls",50,32,105,101.6,3.76,"1987-1988"
"Atlanta Hawks",50,32,107.9,104.3,4.02,"1987-1988"
"Milwaukee Bucks",42,40,106.1,105.5,1.21,"1987-1988"
"Cleveland Cavaliers",42,40,104.5,103.7,1.28,"1987-1988"
"Indiana Pacers",38,44,104.6,105.4,-0.18,"1987-1988"
"Denver Nuggets",54,28,116.7,112.7,3.32,"1987-1988"
"Dallas Mavericks",53,29,109.3,104.9,3.59,"1987-1988"
"Utah Jazz",47,35,108.5,104.8,2.96,"1987-1988"
"Houston Rockets",46,36,109,107.6,0.82,"1987-1988"
"San Antonio Spurs",31,51,113.6,118.5,-5.02,"1987-1988"
"Sacramento Kings",24,58,108,113.7,-5.84,"1987-1988"
"Los Angeles Lakers",62,20,112.8,107,4.81,"1987-1988"
"Portland Trail Blazers",53,29,116.1,111.5,3.59,"1987-1988"
"Seattle SuperSonics",44,38,111.4,109.3,1.29,"1987-1988"
"Phoenix Suns",28,54,108.5,113,-4.8,"1987-1988"
"Golden State Warriors",20,62,107,115.3,-8.38,"1987-1988"
"Los Angeles Clippers",17,65,98.8,109.1,-10.24,"1987-1988"
"New York Knicks",52,30,116.7,112.9,3.62,"1988-1989"
"Philadelphia 76ers",46,36,111.9,110.4,1.68,"1988-1989"
"Boston Celtics",42,40,109.2,108.1,1.26,"1988-1989"
"Washington Bullets",40,42,108.3,110.4,-1.77,"1988-1989"
"New Jersey Nets",26,56,103.7,110.1,-5.69,"1988-1989"
"Charlotte Hornets",20,62,104.5,113,-7.74,"1988-1989"
"Detroit Pistons",63,19,106.6,100.8,6.24,"1988-1989"
"Cleveland Cavaliers",57,25,108.8,101.2,7.95,"1988-1989"
"Atlanta Hawks",52,30,111,106.1,5.26,"1988-1989"
"Milwaukee Bucks",49,33,108.9,105.3,4.11,"1988-1989"
"Chicago Bulls",47,35,106.4,105,2.13,"1988-1989"
"Indiana Pacers",28,54,106.9,111.1,-3,"1988-1989"
"Utah Jazz",51,31,104.7,99.7,4.01,"1988-1989"
"Houston Rockets",45,37,108.5,107.5,0.22,"1988-1989"
"Denver Nuggets",44,38,118,116.3,0.91,"1988-1989"
"Dallas Mavericks",38,44,103.5,104.7,-1.79,"1988-1989"
"San Antonio Spurs",21,61,105.5,112.8,-7.45,"1988-1989"
"Miami Heat",15,67,97.8,109,-11.13,"1988-1989"
"Los Angeles Lakers",57,25,114.7,107.5,6.38,"1988-1989"
"Phoenix Suns",55,27,118.6,110.9,6.84,"1988-1989"
"Seattle SuperSonics",47,35,112.1,109.2,2.44,"1988-1989"
"Golden State Warriors",43,39,116.6,116.9,-0.59,"1988-1989"
"Portland Trail Blazers",39,43,114.6,113.1,0.92,"1988-1989"
"Sacramento Kings",27,55,105.5,111,-5.35,"1988-1989"
"Los Angeles Clippers",21,61,106.2,116.2,-9.5,"1988-1989"
"Philadelphia 76ers",53,29,110.2,105.2,4.23,"1989-1990"
"Boston Celtics",52,30,110,106,3.23,"1989-1990"
"New York Knicks",45,37,108.3,106.9,0.78,"1989-1990"
"Washington Bullets",31,51,107.7,109.9,-2.43,"1989-1990"
"Miami Heat",18,64,100.6,110.3,-9.59,"1989-1990"
"New Jersey Nets",17,65,100.1,108,-7.82,"1989-1990"
"Detroit Pistons",59,23,104.3,98.3,5.41,"1989-1990"
"Chicago Bulls",55,27,109.5,106.2,2.74,"1989-1990"
"Milwaukee Bucks",44,38,106,106.8,-1.06,"1989-1990"
"Cleveland Cavaliers",42,40,102.6,102.9,-0.62,"1989-1990"
"Indiana Pacers",42,40,109.3,109.1,-0.18,"1989-1990"
"Atlanta Hawks",41,41,108.5,107.5,0.64,"1989-1990"
"Orlando Magic",18,64,110.9,119.8,-8.73,"1989-1990"
"San Antonio Spurs",56,26,106.3,102.8,3.58,"1989-1990"
"Utah Jazz",55,27,106.8,102,4.82,"1989-1990"
"Dallas Mavericks",47,35,102.2,102.2,0.42,"1989-1990"
"Denver Nuggets",43,39,114.6,113.2,1.56,"1989-1990"
"Houston Rockets",41,41,106.7,105.3,1.71,"1989-1990"
"Minnesota Timberwolves",22,60,95.2,99.4,-3.6,"1989-1990"
"Charlotte Hornets",19,63,100.4,108.2,-7,"1989-1990"
"Los Angeles Lakers",63,19,110.7,103.9,6.74,"1989-1990"
"Portland Trail Blazers",59,23,114.2,107.9,6.48,"1989-1990"
"Phoenix Suns",54,28,114.9,107.8,7.09,"1989-1990"
"Seattle SuperSonics",41,41,106.9,105.9,1.4,"1989-1990"
"Golden State Warriors",37,45,116.3,119.4,-2.55,"1989-1990"
"Los Angeles Clippers",30,52,103.8,107.2,-2.8,"1989-1990"
"Sacramento Kings",23,59,101.7,106.8,-4.41,"1989-1990"
"Boston Celtics",56,26,111.5,105.7,5.22,"1990-1991"
"Philadelphia 76ers",44,38,105.4,105.6,-0.39,"1990-1991"
"New York Knicks",39,43,103.1,103.3,-0.43,"1990-1991"
"Washington Bullets",30,52,101.4,106.4,-4.84,"1990-1991"
"New Jersey Nets",26,56,102.9,107.5,-4.53,"1990-1991"
"Miami Heat",24,58,101.8,107.8,-5.91,"1990-1991"
"Chicago Bulls",61,21,110,101,8.57,"1990-1991"
"Detroit Pistons",50,32,100.1,96.8,3.08,"1990-1991"
"Milwaukee Bucks",48,34,106.4,104,2.33,"1990-1991"
"Atlanta Hawks",43,39,109.8,109,0.72,"1990-1991"
"Indiana Pacers",41,41,111.7,112.1,-0.37,"1990-1991"
"Cleveland Cavaliers",33,49,101.7,104.2,-2.33,"1990-1991"
"Charlotte Hornets",26,56,102.8,108,-4.95,"1990-1991"
"San Antonio Spurs",55,27,107.1,102.6,4.3,"1990-1991"
"Utah Jazz",54,28,104,100.7,3.18,"1990-1991"
"Houston Rockets",52,30,106.7,103.2,3.27,"1990-1991"
"Orlando Magic",31,51,105.9,109.9,-3.79,"1990-1991"
"Minnesota Timberwolves",29,53,99.6,103.5,-3.75,"1990-1991"
"Dallas Mavericks",28,54,99.9,104.5,-4.27,"1990-1991"
"Denver Nuggets",20,62,119.9,130.8,-10.31,"1990-1991"
"Portland Trail Blazers",63,19,114.7,106,8.47,"1990-1991"
"Los Angeles Lakers",58,24,106.3,99.6,6.73,"1990-1991"
"Phoenix Suns",55,27,114,107.5,6.49,"1990-1991"
"Golden State Warriors",44,38,116.6,115,1.72,"1990-1991"
"Seattle SuperSonics",41,41,106.6,105.4,1.31,"1990-1991"
"Los Angeles Clippers",31,51,103.5,107,-3.16,"1990-1991"
"Sacramento Kings",25,57,96.7,103.5,-6.27,"1990-1991"
"Boston Celtics",51,31,106.6,103,3.41,"1991-1992"
"New York Knicks",51,31,101.6,97.7,3.67,"1991-1992"
"New Jersey Nets",40,42,105.4,107.1,-1.54,"1991-1992"
"Miami Heat",38,44,105,109.2,-3.94,"1991-1992"
"Philadelphia 76ers",35,47,101.9,103.2,-1.34,"1991-1992"
"Washington Bullets",25,57,102.4,106.8,-4.35,"1991-1992"
"Orlando Magic",21,61,101.6,108.5,-6.52,"1991-1992"
"Chicago Bulls",67,15,109.9,99.5,10.07,"1991-1992"
"Cleveland Cavaliers",57,25,108.9,103.4,5.34,"1991-1992"
"Detroit Pistons",48,34,98.9,96.9,2.06,"1991-1992"
"Indiana Pacers",40,42,112.2,110.3,1.85,"1991-1992"
"Atlanta Hawks",38,44,106.2,107.7,-1.15,"1991-1992"
"Milwaukee Bucks",31,51,105,106.7,-1.46,"1991-1992"
"Charlotte Hornets",31,51,109.5,113.4,-3.57,"1991-1992"
"Utah Jazz",55,27,108.3,101.9,5.7,"1991-1992"
"San Antonio Spurs",47,35,104,100.6,2.81,"1991-1992"
"Houston Rockets",42,40,102,103.7,-1.94,"1991-1992"
"Denver Nuggets",24,58,99.7,107.6,-7.59,"1991-1992"
"Dallas Mavericks",22,60,97.6,105.3,-7.47,"1991-1992"
"Minnesota Timberwolves",15,67,100.5,107.5,-6.85,"1991-1992"
"Portland Trail Blazers",57,25,111.4,104.1,6.94,"1991-1992"
"Golden State Warriors",55,27,118.7,114.8,3.77,"1991-1992"
"Phoenix Suns",53,29,112.1,106.2,5.68,"1991-1992"
"Seattle SuperSonics",47,35,106.5,104.7,1.86,"1991-1992"
"Los Angeles Clippers",45,37,102.9,101.9,1.1,"1991-1992"
