"Team","W","L","PTS","PTSA","SRS","Season"
"New York Knicks",29,53,102.1,105.9,-4.01,"2009-2010"
"Philadelphia 76ers",27,55,97.7,101.6,-3.93,"2009-2010"
"New Jersey Nets",12,70,92.4,101.5,-8.93,"2009-2010"
"Cleveland Cavaliers",61,21,102.1,95.6,6.17,"2009-2010"
"Milwaukee Bucks",46,36,97.7,96,1.37,"2009-2010"
"Chicago Bulls",41,41,97.5,99.1,-1.64,"2009-2010"
"Indiana Pacers",32,50,100.8,103.8,-3.11,"2009-2010"
"Detroit Pistons",27,55,94,99.1,-5.02,"2009-2010"
"Orlando Magic",59,23,102.8,95.3,7.12,"2009-2010"
"Atlanta Hawks",53,29,101.7,97,4.44,"2009-2010"
"Miami Heat",47,35,96.5,94.2,1.99,"2009-2010"
"Charlotte Bobcats",44,38,95.3,93.8,1.3,"2009-2010"
"Washington Wizards",26,56,96.2,101,-4.72,"2009-2010"
"Denver Nuggets",53,29,106.5,102.4,4.15,"2009-2010"
"Utah Jazz",53,29,104.2,98.9,5.33,"2009-2010"
"Portland Trail Blazers",50,32,98.1,94.8,3.18,"2009-2010"
"Oklahoma City Thunder",50,32,101.5,98,3.55,"2009-2010"
"Minnesota Timberwolves",15,67,98.2,107.8,-9.06,"2009-2010"
"Los Angeles Lakers",57,25,101.7,97,4.78,"2009-2010"
"Phoenix Suns",54,28,110.2,105.3,4.67,"2009-2010"
"Los Angeles Clippers",29,53,95.7,102.1,-6.01,"2009-2010"
"Golden State Warriors",26,56,108.8,112.4,-3.28,"2009-2010"
"Sacramento Kings",25,57,100,104.4,-4.06,"2009-2010"
"Dallas Mavericks",55,27,102,99.3,2.66,"2009-2010"
"San Antonio Spurs",50,32,101.4,96.3,5.07,"2009-2010"
"Houston Rockets",42,40,102.4,102.7,-0.02,"2009-2010"
"Memphis Grizzlies",40,42,102.5,104,-1.39,"2009-2010"
"New Orleans Hornets",37,45,100.2,102.7,-2.27,"2009-2010"
"Boston Celtics",56,26,96.5,91.1,4.83,"2010-2011"
"New York Knicks",42,40,106.5,105.7,0.48,"2010-2011"
"Philadelphia 76ers",41,41,99,97.5,1.01,"2010-2011"
"New Jersey Nets",24,58,94.2,100.4,-6.28,"2010-2011"
"Toronto Raptors",22,60,99.1,105.4,-6.28,"2010-2011"
"Chicago Bulls",62,20,98.6,91.3,6.53,"2010-2011"
"Indiana Pacers",37,45,99.8,100.9,-1.38,"2010-2011"
"Milwaukee Bucks",35,47,91.9,92.7,-1.02,"2010-2011"
"Detroit Pistons",30,52,97,100.6,-3.78,"2010-2011"
"Cleveland Cavaliers",19,63,95.5,104.5,-8.88,"2010-2011"
"Miami Heat",58,24,102.1,94.6,6.76,"2010-2011"
"Orlando Magic",52,30,99.2,93.7,4.92,"2010-2011"
"Atlanta Hawks",44,38,95,95.8,-1.1,"2010-2011"
"Charlotte Bobcats",34,48,93.3,97.3,-4.08,"2010-2011"
"Washington Wizards",23,59,97.3,104.7,-7.3,"2010-2011"
"Oklahoma City Thunder",55,27,104.8,101,3.81,"2010-2011"
"Denver Nuggets",50,32,107.5,102.7,4.81,"2010-2011"
"Portland Trail Blazers",48,34,96.3,94.8,1.85,"2010-2011"
"Utah Jazz",39,43,99.4,101.3,-1.44,"2010-2011"
"Minnesota Timberwolves",17,65,101.1,107.7,-5.97,"2010-2011"
"Los Angeles Lakers",57,25,101.5,95.4,6.01,"2010-2011"
"Phoenix Suns",40,42,105,105.9,-0.46,"2010-2011"
"Golden State Warriors",36,46,103.4,105.7,-2,"2010-2011"
"Los Angeles Clippers",32,50,98.6,101.8,-2.71,"2010-2011"
"Sacramento Kings",24,58,99.4,104.7,-4.8,"2010-2011"
"San Antonio Spurs",61,21,103.7,98,5.86,"2010-2011"
"Dallas Mavericks",57,25,100.2,96,4.41,"2010-2011"
"New Orleans Hornets",46,36,94.9,94,1.28,"2010-2011"
"Memphis Grizzlies",46,36,99.9,97.6,2.55,"2010-2011"
"Houston Rockets",43,39,105.9,103.7,2.37,"2010-2011"
"Boston Celtics",39,27,91.8,89.3,2.26,"2011-2012"
"New York Knicks",36,30,97.8,94.7,2.39,"2011-2012"
"Philadelphia 76ers",35,31,93.6,89.4,3.59,"2011-2012"
"Toronto Raptors",23,43,90.7,94,-3.67,"2011-2012"
"New Jersey Nets",22,44,93.1,99.1,-6.37,"2011-2012"
"Chicago Bulls",50,16,96.3,88.2,7.43,"2011-2012"
"Indiana Pacers",42,24,97.7,94.4,2.6,"2011-2012"
"Milwaukee Bucks",31,35,99,98.7,-0.23,"2011-2012"
"Detroit Pistons",25,41,90.9,95.7,-5.19,"2011-2012"
"Cleveland Cavaliers",21,45,93,100.2,-7.34,"2011-2012"
"Miami Heat",46,20,98.5,92.5,5.72,"2011-2012"
"Atlanta Hawks",40,26,96.6,93.2,2.67,"2011-2012"
"Orlando Magic",37,29,94.2,93.4,0.46,"2011-2012"
"Washington Wizards",20,46,93.6,98.4,-5.14,"2011-2012"
"Charlotte Bobcats",7,59,87,100.9,-13.96,"2011-2012"
"Oklahoma City Thunder",47,19,103.1,96.9,6.44,"2011-2012"
"Denver Nuggets",38,28,104.1,101.2,3.16,"2011-2012"
"Utah Jazz",36,30,99.7,99,0.92,"2011-2012"
"Portland Trail Blazers",28,38,97.2,97.8,-0.22,"2011-2012"
"Minnesota Timberwolves",26,40,97.9,100.1,-1.83,"2011-2012"
"Los Angeles Lakers",41,25,97.3,95.9,1.96,"2011-2012"
"Los Angeles Clippers",40,26,97.5,95,2.82,"2011-2012"
"Phoenix Suns",33,33,98.4,98.6,0.29,"2011-2012"
"Golden State Warriors",23,43,97.8,101.2,-2.79,"2011-2012"
"Sacramento Kings",22,44,98.8,104.4,-4.95,"2011-2012"
"San Antonio Spurs",50,16,103.7,96.5,7.28,"2011-2012"
"Memphis Grizzlies",41,25,95,93,2.43,"2011-2012"
"Dallas Mavericks",36,30,95.8,94.8,1.78,"2011-2012"
"Houston Rockets",34,32,98.1,97.9,0.57,"2011-2012"
"New Orleans Hornets",21,45,89.6,93.4,-3.11,"2011-2012"
"New York Knicks",54,28,100,95.7,3.73,"2012-2013"
"Brooklyn Nets",49,33,96.9,95.1,1.25,"2012-2013"
"Boston Celtics",41,40,96.5,96.7,-0.62,"2012-2013"
"Philadelphia 76ers",34,48,93.2,96.5,-3.51,"2012-2013"
"Toronto Raptors",34,48,97.2,98.7,-1.96,"2012-2013"
"Indiana Pacers",49,32,94.7,90.7,3.34,"2012-2013"
"Chicago Bulls",45,37,93.2,92.9,-0.02,"2012-2013"
"Milwaukee Bucks",38,44,98.9,100.4,-1.83,"2012-2013"
"Detroit Pistons",29,53,94.9,98.8,-4.33,"2012-2013"
"Cleveland Cavaliers",24,58,96.5,101.2,-4.87,"2012-2013"
"Miami Heat",66,16,102.9,95,7.03,"2012-2013"
"Atlanta Hawks",44,38,98,97.5,-0.08,"2012-2013"
"Washington Wizards",29,53,93.2,95.8,-2.78,"2012-2013"
"Charlotte Bobcats",21,61,93.4,102.7,-9.29,"2012-2013"
"Orlando Magic",20,62,94.1,101.1,-7.12,"2012-2013"
"Oklahoma City Thunder",60,22,105.7,96.5,9.15,"2012-2013"
"Denver Nuggets",57,25,106.1,101.1,5.37,"2012-2013"
"Utah Jazz",43,39,98,98.1,0.3,"2012-2013"
"Portland Trail Blazers",33,49,97.5,100.7,-2.53,"2012-2013"
"Minnesota Timberwolves",31,51,95.7,98.1,-1.83,"2012-2013"
"Los Angeles Clippers",56,26,101.1,94.6,6.43,"2012-2013"
"Golden State Warriors",47,35,101.2,100.3,1.32,"2012-2013"
"Los Angeles Lakers",45,37,102.2,101,1.48,"2012-2013"
"Sacramento Kings",28,54,100.2,105.1,-4.26,"2012-2013"
"Phoenix Suns",25,57,95.2,101.6,-5.75,"2012-2013"
"San Antonio Spurs",58,24,103,96.6,6.67,"2012-2013"
"Memphis Grizzlies",56,26,93.4,89.3,4.32,"2012-2013"
"Houston Rockets",45,37,106,102.5,3.69,"2012-2013"
"Dallas Mavericks",41,41,101.1,101.7,-0.24,"2012-2013"
"New Orleans Hornets",27,55,94.1,97.9,-3.12,"2012-2013"
"Toronto Raptors",48,34,101.3,98,2.55,"2013-2014"
"Brooklyn Nets",44,38,98.5,99.5,-1.58,"2013-2014"
"New York Knicks",37,45,98.6,99.4,-1.4,"2013-2014"
"Boston Celtics",25,57,96.2,100.7,-4.97,"2013-2014"
"Philadelphia 76ers",19,63,99.5,109.9,-10.66,"2013-2014"
"Indiana Pacers",56,26,96.7,92.3,3.63,"2013-2014"
"Chicago Bulls",48,34,93.7,91.8,1.2,"2013-2014"
"Cleveland Cavaliers",33,49,98.2,101.5,-3.86,"2013-2014"
"Detroit Pistons",29,53,101,104.7,-4.13,"2013-2014"
"Milwaukee Bucks",15,67,95.5,103.7,-8.41,"2013-2014"
"Miami Heat",54,28,102.2,97.4,4.15,"2013-2014"
"Washington Wizards",44,38,100.7,99.4,0.48,"2013-2014"
"Charlotte Bobcats",43,39,96.9,97.1,-0.89,"2013-2014"
"Atlanta Hawks",38,44,101,101.5,-0.88,"2013-2014"
"Orlando Magic",23,59,96.5,102,-5.88,"2013-2014"
"Oklahoma City Thunder",59,23,106.2,99.8,6.66,"2013-2014"
"Portland Trail Blazers",54,28,106.7,102.8,4.44,"2013-2014"
"Minnesota Timberwolves",40,42,106.9,104.3,3.1,"2013-2014"
"Denver Nuggets",36,46,104.4,106.5,-1.4,"2013-2014"
"Utah Jazz",25,57,95,102.2,-6.27,"2013-2014"
"Los Angeles Clippers",57,25,107.9,101,7.27,"2013-2014"
"Golden State Warriors",51,31,104.3,99.5,5.15,"2013-2014"
"Phoenix Suns",48,34,105.2,102.6,3.02,"2013-2014"
"Sacramento Kings",28,54,100.5,103.4,-2.08,"2013-2014"
"Los Angeles Lakers",27,55,103,109.2,-5.33,"2013-2014"
"San Antonio Spurs",62,20,105.4,97.6,8,"2013-2014"
"Houston Rockets",54,28,107.7,103.1,5.06,"2013-2014"
"Memphis Grizzlies",50,32,96.1,94.6,2.18,"2013-2014"
"Dallas Mavericks",49,33,104.8,102.4,2.91,"2013-2014"
"New Orleans Pelicans",34,48,99.7,102.4,-1.98,"2013-2014"
"Toronto Raptors",49,33,104,100.9,2.45,"2014-2015"
"Boston Celtics",40,42,101.4,101.2,-0.4,"2014-2015"
"Brooklyn Nets",38,44,98,100.9,-3.13,"2014-2015"
"Philadelphia 76ers",18,64,92,101,-9.04,"2014-2015"
"New York Knicks",17,65,91.9,101.2,-9.5,"2014-2015"
"Cleveland Cavaliers",53,29,103.1,98.7,4.08,"2014-2015"
"Chicago Bulls",50,32,100.8,97.8,2.54,"2014-2015"
"Milwaukee Bucks",41,41,97.8,97.4,-0.09,"2014-2015"
"Indiana Pacers",38,44,97.3,97,-0.23,"2014-2015"
"Detroit Pistons",32,50,98.5,99.5,-1.39,"2014-2015"
"Atlanta Hawks",60,22,102.5,97.1,4.75,"2014-2015"
"Washington Wizards",46,36,98.5,97.8,0.17,"2014-2015"
"Miami Heat",37,45,94.7,97.3,-2.92,"2014-2015"
"Charlotte Hornets",33,49,94.2,97.3,-3.44,"2014-2015"
"Orlando Magic",25,57,95.7,101.4,-5.87,"2014-2015"
"Portland Trail Blazers",51,31,102.8,98.6,4.41,"2014-2015"
"Oklahoma City Thunder",45,37,104,101.8,2.47,"2014-2015"
"Utah Jazz",38,44,95.1,94.9,0.71,"2014-2015"
"Denver Nuggets",30,52,101.5,105,-3.07,"2014-2015"
"Minnesota Timberwolves",16,66,97.8,106.5,-8,"2014-2015"
"Golden State Warriors",67,15,110,99.9,10.01,"2014-2015"
"Los Angeles Clippers",56,26,106.7,100.1,6.8,"2014-2015"
"Phoenix Suns",39,43,102.4,103.3,-0.38,"2014-2015"
"Sacramento Kings",29,53,101.3,105,-3.07,"2014-2015"
"Los Angeles Lakers",21,61,98.5,105.3,-6.17,"2014-2015"
"Houston Rockets",56,26,103.9,100.5,3.82,"2014-2015"
"San Antonio Spurs",55,27,103.2,97,6.34,"2014-2015"
"Memphis Grizzlies",55,27,98.3,95.1,3.62,"2014-2015"
"Dallas Mavericks",50,32,105.2,102.3,3.36,"2014-2015"
"New Orleans Pelicans",45,37,99.4,98.6,1.13,"2014-2015"
"Toronto Raptors",56,26,102.7,98.2,4.08,"2015-2016"
"Boston Celtics",48,34,105.7,102.5,2.84,"2015-2016"
"New York Knicks",32,50,98.4,101.1,-2.74,"2015-2016"
"Brooklyn Nets",21,61,98.6,106,-7.12,"2015-2016"
"Philadelphia 76ers",10,72,97.4,107.6,-9.92,"2015-2016"
"Cleveland Cavaliers",57,25,104.3,98.3,5.45,"2015-2016"
"Indiana Pacers",45,37,102.2,100.5,1.62,"2015-2016"
"Detroit Pistons",44,38,102,101.4,0.43,"2015-2016"
"Chicago Bulls",42,40,101.6,103.1,-1.46,"2015-2016"
"Milwaukee Bucks",33,49,99,103.2,-3.98,"2015-2016"
"Miami Heat",48,34,100,98.4,1.5,"2015-2016"
"Atlanta Hawks",48,34,102.8,99.2,3.49,"2015-2016"
"Charlotte Hornets",48,34,103.4,100.7,2.36,"2015-2016"
"Washington Wizards",41,41,104.1,104.6,-0.5,"2015-2016"
"Orlando Magic",35,47,102.1,103.7,-1.68,"2015-2016"
"Oklahoma City Thunder",55,27,110.2,102.9,7.09,"2015-2016"
"Portland Trail Blazers",44,38,105.1,104.3,0.98,"2015-2016"
"Utah Jazz",40,42,97.7,95.9,1.84,"2015-2016"
"Denver Nuggets",33,49,101.9,105,-2.81,"2015-2016"
"Minnesota Timberwolves",29,53,102.4,106,-3.38,"2015-2016"
"Golden State Warriors",73,9,114.9,104.1,10.38,"2015-2016"
"Los Angeles Clippers",53,29,104.5,100.2,4.13,"2015-2016"
"Sacramento Kings",33,49,106.6,109.1,-2.32,"2015-2016"
"Phoenix Suns",23,59,100.9,107.5,-6.32,"2015-2016"
"Los Angeles Lakers",17,65,97.3,106.9,-8.92,"2015-2016"
"San Antonio Spurs",67,15,103.5,92.9,10.28,"2015-2016"
"Dallas Mavericks",42,40,102.3,102.6,-0.02,"2015-2016"
"Memphis Grizzlies",42,40,99.1,101.3,-2.14,"2015-2016"
"Houston Rockets",41,41,106.5,106.4,0.34,"2015-2016"
"New Orleans Pelicans",30,52,102.7,106.5,-3.56,"2015-2016"
