"Player","Pos","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Tm"
"Quinn Cook","PG","2017-2018",24,0.44,0.357,0.545,0.54,0,0.000260840108401084,0.142857142857143,0.324675324675325,0.0649350649350649,0.181818181818182,0.0779220779220779,0.142857142857143,0,0.025974025974026,0,0.038961038961039,0.038961038961039,0.155844155844156,0.012987012987013,0,0.103896103896104,0.0779220779220779,0.350649350649351,"DAL"
"Salah Mejri","C","2017-2018",31,0.635624404997253,0.333,0.64309392570874,0.639584681663902,0.577343001236288,0.00296693061761871,0.0945736559878837,0.159970944619696,0,0,0.0945736559878837,0.14590370031291,0.0329209321628084,0.0556466976217257,0.104096083182758,0.210179531068381,0.327597339121764,0.0203527657116634,0.0303079285596903,0.0644105258411009,0.0436778774107651,0.172226376130456,0.224265314828317,"DAL"
"Seth Curry","PG","2017-2018",27,0.478885714285714,0.428072289156626,0.499777282850779,0.582113879003558,0.829937888198758,0.00864134798755395,0.16389034429476,0.348154455008435,0.0742764351896074,0.144983616788891,0.103892519970951,0.186474258698971,0.0467210632107422,0.0553165831854025,0.0105917411664538,0.0804088965199281,0.0907974805167076,0.105843920145191,0.0403300913645741,0.00315181775628023,0.0483599186801157,0.0661524500907441,0.429743499291079,"DAL"
"Wesley Matthews","SG","2017-2018",31,0.354318897637795,0.345021226415094,0.377632653061225,0.454599018003273,0.766808510638298,0.00766951219512195,0.108944610329652,0.321933457666255,0.0784481529025817,0.212476082059728,0.0477480293086085,0.125881168177241,0.0469293828730941,0.0599706109737308,0.0047068891741549,0.108729139922978,0.104997341839447,0.0907309941520468,0.0303660712708256,0.00405598636088654,0.0411852802738554,0.0690343745542719,0.334707050645482,"DAL"
"Yogi Ferrell","PG","2017-2018",24,0.412848192771084,0.367242966751918,0.421004716981132,0.489111545988258,0.818597014925373,0.00647401615212165,0.12819643633203,0.31284167262907,0.0564243448858834,0.153036528688703,0.0676677903769537,0.167977509778357,0.0574264445232187,0.0745632333767927,0.0112801484230056,0.0907977963680882,0.100496277915633,0.157263105258772,0.0378733031674208,0.00769230769230769,0.0636584800741427,0.0728856778580535,0.35569001819334,"DAL"
"Aaron Brooks","PG","2017-2018",33,0.381177042824764,0.374630744670153,0.403853992244208,0.458695182600055,0.791446540880503,0.00375991621352004,0.13650278545853,0.343697284706145,0.049221366280031,0.146470657743137,0.0852877852503699,0.205663251810277,0.0324736103531445,0.0425111925507147,0.0279047159342097,0.0579132543782059,0.0822469149488484,0.14631812418411,0.0280117834722353,0.00637760139004067,0.0812629935161761,0.0847108434393828,0.357819480872841,"IND"
"Al Jefferson","C","2017-2018",33,0.558615044247788,0,0.55726872246696,0.554931868131868,0.918,0.00185378645744499,0.227717078780909,0.409713184629198,0,0,0.236825761932145,0.417029491497577,0.0685259727812919,0.0668128234617596,0.137051945562584,0.277083281246094,0.423248655413862,0.0274103891125168,0,0.0164462334675101,0.034262986390646,0.189380870231934,0.516780353354088,"IND"
"C.J. Miles","SF","2017-2018",30,0.423481071694369,0.42259759346009,0.447845870863008,0.565593487394958,0.847329269380926,0.00529475835928255,0.129875503827117,0.303818805096538,0.0839014565380803,0.202006613240447,0.0500090912517767,0.107129983062849,0.0326541780214923,0.0403008954883,0.0169025464981062,0.103383568584872,0.116936203231464,0.023537233699243,0.0209081007488087,0.0144979134468483,0.0120599921251387,0.0889333920575954,0.3665151956664,"IND"
"Georges Niang","PF","2017-2018",24,0.25,0.083,0.333,0.264,1,0.000311653116531165,0.1,0.4,0,0.125,0.075,0.25,0.025,0.025,0.025,0.175,0.175,0.05,0.025,0,0.05,0.075,0.225,"IND"
"Glenn Robinson 2","SF","2017-2018",24,0.452471111111111,0.381433962264151,0.509857740585774,0.530081632653061,0.72522,0.00545392953929539,0.120933087783916,0.252608178255696,0.0334597476081982,0.0955293826075692,0.0869135802469136,0.16450366922909,0.0331851851851852,0.0421330258510434,0.0416778080824286,0.133614050953074,0.184573150079327,0.036037205277958,0.0267928766244184,0.0178619177496123,0.0223273971870153,0.0430769230769231,0.30736421289293,"IND"
