"Rk","Player","Class","Season","Pos","School","Conf","G","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","PProd","ORtg","DRtg","OWS","DWS","WS","OBPM","DBPM","BPM"
"865","Greig Stire","SO","2015-16","F","Albany (NY)","AEC","32","23.2","2.8","5.2","2.8","5.2","0.0","0.0","1.9","3.0","2.8","3.2","6.0","0.8","0.4","0.1","1.0","3.2","7.6","17.3",".573",".545","14.7","15.3","15.0","6.6","1.1","0.6","13.5","16.6","262","121.4","98.9","1.8","1.3","3.1","0.6","0.0","0.5"
"866","Quinn Taylor","FR","2015-16","F","Utah State","MWC","30","14.6","1.7","2.7","1.6","2.5","0.1","0.2","0.6","1.1","1.2","2.5","3.7","0.9","0.3","0.1","0.5","2.1","4.2","17.3",".653",".663","9.5","19.2","14.4","11.2","1.3","1.0","13.6","12.8","132","130.9","104.7","1.1","0.5","1.6","2.4","0.6","3.0"
"867","Adam Ward","JR","2015-16","F","Nicholls State","Southland","31","15.8","2.2","4.0","2.2","4.0","0.0","0.0","1.2","2.4","1.6","2.0","3.6","0.3","0.5","1.0","0.9","2.1","5.6","17.3",".550",".553","11.1","14.2","12.7","4.2","1.7","6.5","15.0","18.8","169","104.7","104.4","0.6","0.6","1.2","-3.8","0.5","-3.4"
"868","Hameed Ali","SR","2015-16","G","Texas A&M-Corpus Christi","Southland","33","30.4","3.5","10.2","2.4","6.6","1.1","3.6","2.9","3.7","0.5","2.2","2.7","5.3","2.7","0.1","2.0","2.4","10.9","17.2",".453",".389","2.0","8.0","5.0","33.2","5.0","0.5","14.5","22.7","415","102.9","99.0","1.3","1.7","3.0","0.1","0.2","0.2"
"869","Devon Bookert","SR","2015-16","G","Florida State","ACC","33","26.3","3.2","7.6","1.5","3.1","1.8","4.6","1.2","1.6","0.9","1.8","2.7","2.8","1.7","0.1","1.5","1.9","9.5","17.2",".565",".542","4.0","7.8","5.9","18.4","3.5","0.3","14.8","18.0","322","115.9","104.4","1.8","1.1","2.9","5.6","2.1","7.7"
"870","Christian Cunningham","FR","2015-16","F","Jacksonville State","OVC","25","19.1","1.9","3.4","1.9","3.4","0.0","0.0","1.0","1.6","1.9","2.5","4.4","0.3","0.3","1.8","0.6","3.0","4.8","17.2",".571",".558","11.0","15.9","13.3","3.5","1.0","10.3","12.5","13.1","126","118.2","104.7","0.8","0.6","1.4","-3.1","4.1","1.0"
"871","Angel Delgado","SO","2015-16","F","Seton Hall","Big East","34","30.2","4.1","7.2","4.1","7.1","0.0","0.1","1.8","3.3","3.0","6.3","9.3","1.0","0.6","0.8","1.9","2.8","9.9","17.2",".567",".567","10.9","21.4","16.3","6.2","1.0","2.7","17.4","16.8","339","109.0","94.7","1.5","2.2","3.7","0.8","3.9","4.7"
"872","Vashil Fernandez","SR","2015-16","C","Valparaiso","Horizon","36","25.1","2.3","4.6","2.3","4.6","0.0","0.0","1.0","1.9","2.8","4.5","7.3","0.5","0.4","3.3","1.3","3.1","5.6","17.2",".512",".509","12.3","18.9","15.7","3.4","1.0","14.2","18.5","13.3","224","104.5","85.2","0.8","2.7","3.5","-3.1","10.6","7.5"
"873","Konner Frey","JR","2015-16","F","Utah Valley","WAC","30","27.5","4.7","11.1","3.2","6.6","1.5","4.5","3.2","4.5","2.0","5.1","7.1","1.2","0.6","0.4","2.3","2.6","14.1","17.2",".533",".490","7.6","19.2","13.5","9.1","1.2","1.2","14.8","27.1","404","101.4","104.5","1.0","1.0","2.0","-0.9","-2.2","-3.1"
"874","Shep Garner","SO","2015-16","G","Penn State","Big Ten","32","35.2","4.7","12.2","2.3","5.8","2.3","6.4","3.2","4.0","0.3","2.9","3.2","3.4","1.3","0.2","2.0","1.8","14.8","17.2",".525",".478","0.9","9.8","5.2","22.2","2.3","0.7","12.6","24.1","462","107.5","107.3","2.0","1.1","3.1","3.9","0.4","4.3"
