"Player","Pos","Season","Age","Tm","Exp","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"Omer Asik","C","2017-2018",32,"NOP","7",0.489822580645161,0,0.489822580645161,0.489822580645161,0.544350364963504,0.0036635824764171,0.0547650611282958,0.107875907803418,0,0,0.0547650611282958,0.108119372613436,0.030659468533603,0.0634413076843909,0.0796443699669506,0.237034555763023,0.29947309246386,0.0302099334357399,0.0122976592523582,0.0153373508212218,0.0293384256044442,0.102738959812779,0.140024304021211
"Omri Casspi","SF","2017-2018",30,"GSW","8",0.476204356846473,0.395591562950938,0.499411816500836,0.537169443426658,0.599803708040593,0.00525322752121816,0.113591107620497,0.24097248549806,0.028827944045204,0.07504803966115,0.083131327605774,0.173891259259568,0.0165695874156798,0.0260434355170257,0.0449573628528818,0.107955559036055,0.146517248773755,0.0592276254174337,0.038213159273049,0.00353942744045803,0.0421467246445989,0.0797455549495776,0.271548832973636
"Otto Porter","SF","2017-2018",25,"WAS","4",0.476288625326051,0.411301030644496,0.532450027843438,0.571628905207717,0.899418922573085,0.00680064702887617,0.153128623867722,0.332941197953751,0.0592752483940577,0.127074039524967,0.0949557634146213,0.184197555704655,0.0471162326231329,0.0555277700979855,0.042127629081441,0.143663486123759,0.197117778406283,0.0367547165307151,0.0534544032652522,0.0164373855831523,0.0142641115339099,0.0811604902864169,0.424490718718128
"P.J. Tucker","SF","2017-2018",33,"HOU","6",0.426224137931034,0.397136094674556,0.454131944444444,0.525416666666667,0.784794979079498,0.00722018396031418,0.0952038995517256,0.232667450058754,0.0337165716042215,0.0884890582861465,0.0581668625146886,0.134995826167416,0.0334017086787346,0.0426556991774383,0.0576821386603995,0.151800937766411,0.214688601645123,0.0504112808460635,0.0482569526047787,0.0065978683809846,0.0263914735239384,0.0904817861339601,0.254361384796167
"Pascal Siakam","PF","2017-2018",24,"TOR","1",0.48113239131871,0.143,0.494136392540962,0.484500848556422,0.642005925925926,0.00455128827407677,0.136309410112938,0.273658446641011,0,0.00641025641025641,0.136309410112938,0.262549479916931,0.0311187603183391,0.0529474578489588,0.0839319884096004,0.133584202987879,0.209019383967346,0.0182383796165847,0.0307989964706383,0.0405979599852414,0.0402049309529219,0.127163909215191,0.302874491419642
"Pat Connaughton","SG","2017-2018",25,"POR","2",0.514,0.515,0.513,0.632,0.778,0.00107012195121951,0.111111111111111,0.222222222222222,0.0493827160493827,0.0987654320987654,0.0617283950617284,0.123456790123457,0.0246913580246914,0.0246913580246914,0.037037037037037,0.135802469135802,0.160493827160494,0.0864197530864197,0.0246913580246914,0.0123456790123457,0.0493827160493827,0.0740740740740741,0.308641975308642
"Patrick Beverley","SG","2017-2018",30,"LAC","5",0.41125,0.348774115861705,0.483536290322581,0.503467285339333,0.741321682016135,0.00750091291085562,0.103800213014006,0.258948702763035,0.0464637506384137,0.136392029957283,0.055424910729763,0.118992449654122,0.031337763246999,0.043467257935858,0.0510882753709937,0.168388709627113,0.239700343039864,0.126478560828576,0.0527410337081832,0.0135491025019059,0.0510282809867835,0.123350478837792,0.281381470668547
"Patrick McCaw","SG","2017-2018",23,"GSW","1",0.446686781609195,0.356138972809668,0.526216363636364,0.534561151079137,0.782139976275208,0.00423077653673733,0.10281109618858,0.253502110414533,0.0404396223756517,0.106157415475776,0.0644966470906743,0.129903209373408,0.0332593660688845,0.0391043834752444,0.0232861102463117,0.0759425182876683,0.102719555767962,0.0877197002681088,0.0317183687696061,0.0120103266359861,0.0372422699764232,0.0560787797392253,0.290974800533716
"Patrick Patterson","PF","2017-2018",29,"OKC","7",0.367701256255482,0.35326925729443,0.40898623285061,0.480943835028349,0.733528284696787,0.00613974113135187,0.0946240896079828,0.251540224656192,0.0492406862246128,0.155677306658013,0.0351095854281471,0.0918014256096355,0.0312352420508034,0.0389748580928643,0.0450349731024222,0.149987519332545,0.18435168239789,0.05003138052676,0.0250144687887557,0.0102473744079415,0.0254321192690145,0.0645125849915788,0.286132998279012
"Patty Mills","PG","2017-2018",30,"SAS","8",0.415162895927602,0.405490909090909,0.443836363636364,0.531919324577861,0.821325167037862,0.00553294045510288,0.153529265255293,0.364859985701524,0.0818344252531269,0.220752855462376,0.0715981735159817,0.154512870369984,0.0352316714183066,0.0440395892728832,0.0136390708755211,0.0630722444178218,0.0770206355323547,0.144771401160688,0.0286569044245001,0,0.0537485213299699,0.0572514660547482,0.429723399636683
"Pau Gasol","C","2017-2018",38,"SAS","16",0.49,0.538,0.483218253968254,0.533836978131213,0.727688295165394,0.00618908382066277,0.172159518990708,0.330079459245676,0.0354330708661417,0.062992125984252,0.142855771077396,0.275852119512458,0.0630077578929974,0.0897727523163963,0.0804906878078596,0.238606083157288,0.310156630483456,0.0884611039340606,0.016593047820242,0.0431888904170821,0.0527586020925467,0.0730503721281415,0.441352292545273
"Paul George","SF","2017-2018",28,"OKC","7",0.45926525302604,0.389218988917205,0.516910020176192,0.537461238240701,0.897606096136176,0.00872067809426895,0.227792894978837,0.503607712970583,0.0730846626024429,0.177542832499309,0.14980000069606,0.296985126993108,0.137069031613453,0.154435782596759,0.0248382281021422,0.192441877390535,0.217930277811076,0.0982837045358188,0.0428111498755105,0.0120035615539136,0.0808920498183646,0.0823931534331067,0.678315286579286
"Paul Millsap","PF","2017-2018",33,"DEN","11",0.45244094488189,0.299189873417722,0.502790786948177,0.493260784313725,0.781223841059603,0.00859238532703629,0.176958473489826,0.414912306385969,0.0305913150600554,0.0903834308592547,0.146303298104956,0.316152907075874,0.134085309516477,0.177115020710496,0.050314465408805,0.157525408068987,0.200193164731245,0.111323288613691,0.0357560825377271,0.0270879780483622,0.0663271162123386,0.0798352941176471,0.529181680540037
"Paul Zipser","SF","2017-2018",24,"CHI","1",0.373704241292477,0.280318950751729,0.440374640669916,0.43977596215602,0.746803100595625,0.00511361654013891,0.106818747517453,0.274249698803188,0.0289530446324871,0.0918774531993008,0.0677938107020822,0.152705809419754,0.0303581258468835,0.0435057436436113,0.0164619201339072,0.134412066493853,0.145422350065822,0.0324078181997437,0.0157748429232804,0.024390243902439,0.0531794395369581,0.0996651249234021,0.26010679536114
"Quincy Acy","PF","2017-2018",28,"BRK","5",0.40866846361186,0.411,0.41486036036036,0.534973180076628,0.765548780487805,0.00407321836890244,0.125979505726341,0.318527727546715,0.0741487976686239,0.193528361915108,0.0617507748084907,0.142306312315863,0.0856035084808802,0.112676552273558,0.0280738622412872,0.163605925324675,0.211095894986472,0.0336886346895446,0.0269509077516357,0.0272108843537415,0.0411636995223621,0.115392862015867,0.438318305019416
"Quinn Cook","G","2017-2018",25,"GSW","1",0.44,0.357,0.545,0.54,0,0.000260840108401084,0.142857142857143,0.324675324675325,0.0649350649350649,0.181818181818182,0.0779220779220779,0.142857142857143,0,0.025974025974026,0,0.038961038961039,0.038961038961039,0.155844155844156,0.012987012987013,0,0.103896103896104,0.0779220779220779,0.350649350649351
"Rajon Rondo","G","2017-2018",32,"NOP","11",0.398362204724409,0.355161445783133,0.410974789915966,0.439092105263158,0.622998872604284,0.00691398921200751,0.108605661687193,0.286573339672289,0.0229753131166687,0.0707190545979017,0.0875792052387346,0.215677572845264,0.0165359338562646,0.0268917712207939,0.0491311326680159,0.140761548064919,0.186994293689492,0.256898478578925,0.0507278637552116,0.00749063670411985,0.0915390022650436,0.0725536203684274,0.280927438218662
"Ramon Sessions","PG","2017-2018",32,"NYK","10",0.368067632850242,0.31826329787234,0.383879746835443,0.408286852589641,0.771912426035503,0.00399892599778271,0.114865724831361,0.313132759438601,0.0248305950060336,0.0719918398930744,0.0886658353985475,0.228396669896788,0.105131341371076,0.14301886994919,0.01111833080644,0.0784182678919521,0.095299978340914,0.165186629124251,0.0287164312078401,0.00644025493604314,0.0636179399065997,0.0584316948055182,0.350654084660819
"Rashad Vaughn","SG","2017-2018",22,"MIL","2",0.360054562251006,0.212912611416224,0.431566544632282,0.440252539551768,0.394770483334667,0.00264040305989917,0.125921778840831,0.329336084922022,0.0535714285714286,0.179334554334554,0.0733187996065862,0.155184441902483,0,0.007759852994228,0.0101217476070915,0.0905451551336452,0.101464713606313,0.0597312925170068,0.0457120265597988,0.0169227807448961,0.0260576918661254,0.0661028834947104,0.309919324658697
"Raul Neto","G","2017-2018",26,"UTA","2",0.4477791187321,0.315366956000252,0.529750659104844,0.487829697106013,0.882043069272898,0.00203645662678768,0.117801832375477,0.27165663152226,0.0320921852428469,0.0918213997652823,0.0900734107051985,0.178263593420714,0.0237347659256608,0.0247291157927389,0.0124464462016431,0.0864363889612188,0.100054594977037,0.1107562302469,0.0605811480970072,0.0115686493322918,0.0422859085153743,0.151093375830648,0.301938343341995
"Raymond Felton","PG","2017-2018",34,"OKC","12",0.419102490853746,0.3615390625,0.46203056372165,0.489012220885332,0.752411983927946,0.00508346993150599,0.111678002812512,0.261537560510437,0.0301478291235013,0.0869866195020244,0.0856502209692741,0.178500473645452,0.0196440591120512,0.0276404359109343,0.0141491356114163,0.0988926277837479,0.12204247480116,0.111699493188906,0.0325644290689291,0.0134007931081635,0.0420578126286058,0.0739667954249562,0.27767032812638
"Reggie Bullock","G-F","2017-2018",27,"DET","4",0.422,0.384,0.473,0.531,0.714,0.00158570460704607,0.112582781456954,0.271523178807947,0.0596026490066225,0.158940397350993,0.0529801324503311,0.119205298013245,0.0132450331125828,0.0132450331125828,0.0264900662251656,0.105960264900662,0.139072847682119,0.0596026490066225,0.0397350993377483,0.00662251655629139,0.0198675496688742,0.0463576158940397,0.298013245033113
"Reggie Jackson","PG","2017-2018",28,"DET","6",0.413390279809341,0.340376815929924,0.44640231421811,0.453434243015993,0.867466174661747,0.00676410823677551,0.203762673926963,0.477307432612086,0.0464959748704855,0.129595337907797,0.152095598588263,0.350740941441985,0.0750861581933591,0.0856511605325116,0.012581142527725,0.067978818378077,0.0791111760494817,0.182934241295958,0.0276122897260311,0.00333156193093556,0.0800922846382803,0.0959600463157254,0.530578395504645
"Richard Jefferson","F","2017-2018",38,"DEN","16",0.462437346437346,0.340947494033413,0.61238578680203,0.560078125,0.611438650306748,0.00322645776126635,0.0712448099807299,0.146939767476641,0.0286342776956044,0.0839938812404394,0.0472465581977472,0.0666297615609255,0.0262480878876373,0.0367473230426923,0.0157488527325824,0.11087192323738,0.12707694963532,0.0357928471195054,0.0168737707849097,0.00524961757752746,0.0275604922820192,0.10200961429059,0.201979036295369
"Richaun Holmes","F-C","2017-2018",25,"PHI","2",0.538350670794634,0.363462520243358,0.569649144869215,0.587060722218628,0.707462203778157,0.00497673186357981,0.205383308048099,0.380641722511106,0.0307248091854449,0.0833618561015525,0.180981692600697,0.316393486749321,0.061413809375375,0.0857442683914805,0.072502370591168,0.17188363833844,0.250172485947456,0.0480513301808054,0.0284976050993362,0.0477733293094392,0.0469583088026156,0.10326681787761,0.512072192073732
"Ricky Rubio","PG","2017-2018",28,"UTA","6",0.404244391361725,0.295874581167816,0.462484552949857,0.454089577048063,0.871175018938896,0.00827671865447759,0.119420927170753,0.285280491193439,0.0346656989926273,0.104148379455114,0.0881302709409648,0.191160462225315,0.101349962358288,0.119214251880084,0.0278309440569371,0.0905314030068613,0.110638462897427,0.263555736289495,0.0541026952851563,0.00318010656256412,0.0752104442078752,0.0813615434673007,0.359224066038917
"Robert Covington","SF","2017-2018",28,"PHI","4",0.399,0.364,0.496150627615063,0.509229571984436,0.863254705144291,0.00675754151363908,0.144444431401045,0.361074914247938,0.0676785780964116,0.239367088607595,0.075219989647546,0.144157438598826,0.0915888404385928,0.0977859865418098,0.0545760053769463,0.135569620253165,0.19746835443038,0.0443110556265242,0.0573583867546505,0.0300778074555801,0.0617748707250378,0.088864875990532,0.456474960208215
"Robin Lopez","C","2017-2018",30,"CHI","9",0.481932653061224,0,0.481,0.480951120162933,0.755237430167598,0.00673692995208098,0.144761423882858,0.314163090128755,0,0,0.144761423882858,0.31390891287137,0.0333438287153652,0.0432182028748552,0.0989947552447552,0.116565252928889,0.215952468584048,0.0331777597402597,0.00764462809917356,0.0504120879120879,0.041282835552357,0.0679711033508384,0.318547960844838
"Rodney Hood","SG","2017-2018",26,"UTA","3",0.425118881118881,0.352346368715084,0.460321285140562,0.486750524109015,0.773088607594937,0.00679347826086957,0.158499810301294,0.360588604449928,0.0544516091298563,0.148855602752316,0.0981408450704225,0.219241896315067,0.051890243902439,0.0712695603004265,0.0108852459016393,0.129010321797207,0.127154471544715,0.0622587019303846,0.0223545288560768,0.00560975609756098,0.0384231536926148,0.0781626016260163,0.434592758306405
"Rodney McGruder","G","2017-2018",27,"MIA","1",0.416990338164251,0.325735849056604,0.457630901287554,0.457193116634799,0.630205761316872,0.0063834406890063,0.10527950310559,0.26780436312456,0.0334325396825397,0.107219007005787,0.0776112528344671,0.164926108374384,0.0336309523809524,0.0475219979296066,0.0532019704433498,0.0852958937198068,0.138504284564067,0.0636810279667423,0.027330580325972,0.00731038684130369,0.0359599580029688,0.0605992593423858,0.298493610337688
"Ron Baker","SG","2017-2018",25,"NYK","1",0.381452054794521,0.295692537313433,0.447867298578199,0.448309236947791,0.659520942408377,0.00497060104529617,0.0944279491398277,0.257815565729235,0.0318290821887944,0.121721456994184,0.0621417797888386,0.139746235643619,0.0268118977796397,0.0451951346054073,0.00954872465663832,0.104539579334926,0.105089169204002,0.114941278816877,0.0448297407060294,0.00954872465663833,0.058869395711501,0.0829951941063052,0.255042818864818
"Rondae Hollis-Jefferson","SF","2017-2018",23,"BRK","2",0.442170387065321,0.210389743589744,0.479329664702296,0.451615585819282,0.797544732931884,0.00647334473796273,0.147910316019372,0.32770252981455,0.00884955752212389,0.0575767612825358,0.137965530479327,0.280082075616281,0.120423287124254,0.16293971574564,0.0433295857103801,0.208970750990891,0.243531416329999,0.0942449353262287,0.0489864320630548,0.0215477274205797,0.0696365966529443,0.0945697965824949,0.435707518992363
"Rudy Gay","SF","2017-2018",32,"SAS","11",0.444424168124271,0.370437790905836,0.468389811012159,0.490257578314722,0.860192950814252,0.0082610546939797,0.190371125438999,0.418893168233919,0.0410675150578072,0.118970104162418,0.149240129209038,0.311577242830574,0.107617183215986,0.126314169149926,0.0340014881479644,0.149478322913494,0.177142282358599,0.0879105152362482,0.0381879329022096,0.015518276208552,0.081950094237412,0.0776358372863476,0.528184187050856
"Rudy Gobert","C","2017-2018",26,"UTA","4",0.635564059900166,0,0.636524126455907,0.635564059900166,0.679789743589744,0.0103294464001341,0.142650047452709,0.231155208949481,0,0,0.142650047452709,0.22662275387204,0.107466645016373,0.158841184578326,0.103806790232534,0.303061361076621,0.393237742227697,0.0587394211075473,0.0206489675516224,0.0680559520411076,0.0528001584995377,0.0863815016287459,0.390629373640807
"Russell Westbrook","PG","2017-2018",30,"OKC","9",0.424583968694531,0.391255927577109,0.452392605633803,0.476948207171315,0.829480587428736,0.00804350512266757,0.271012647835505,0.644393941717768,0.0806624207048531,0.199500444193437,0.198372541978014,0.452693507893224,0.217342330473681,0.254262627087189,0.0506559770010212,0.308256041176541,0.3527897521969,0.3289489351054,0.0643380623579471,0.0126568636502161,0.151492574285186,0.0740680917282092,0.843313361589134
"Ryan Anderson","PF","2017-2018",30,"HOU","9",0.412823809523809,0.418335999713606,0.429398740122405,0.538757064494681,0.854631512895967,0.0073868919848923,0.155592611184517,0.388406990052608,0.104003566203807,0.259459817792563,0.055877241765859,0.133066551849019,0.0566930532085083,0.0687554410977178,0.0598350746133997,0.0918432507102458,0.151441698907181,0.0265076602867457,0.0133316904122832,0.0065181883736892,0.0268382054502943,0.0677915671119885,0.488027293151764
