"Pick","Team","Player","College","Season"
"118","UTA","Ken Cunningham","Western Michigan University",1980
"119","DEN","Ernie Hill","Oklahoma City University",1980
"120","CHI","Bernard Rencher","St. John's University",1980
"121","NJN","Rick Mattick","Louisiana State University",1980
"122","SDC","Londale Theus","Santa Clara University",1980
"123","CLE","Antonio Martin","Oral Roberts University",1980
"124","IND","Randy Owens","Philadelphia University",1980
"125","POR","Perry Mirkovich","University of Lethbridge",1980
"126","DAL","Leroy Jackson","Cameron University",1980
"127","WSB","Ken Dancy","Chicago State University",1980
"128","NYK","Kelvin Hicks","New York Institute of Technology",1980
"129","SAS","Dean Uthoff","Iowa State University",1980
"130","HOU","Everette Jefferson","University of New Mexico",1980
"131","KCK","Trent Grooms","Kent State University",1980
"132","MIL","Alex Gilbert","Indiana State University",1980
"133","ATL","Mike Zagardo","George Washington University",1980
"134","PHO","Coby Leavitt","University of Utah",1980
"135","SEA","Jim Strickland","University of South Carolina",1980
"136","PHI","Donald Cooper","Saint Augustine's College",1980
"137","LAL","Odis Boddie","University of North Alabama",1980
"138","BOS","Kenny Evans","Norfolk State University",1980
"139","DET","Carl Pierce","Gonzaga University",1980
"140","UTA","Dave Colescott","University of North Carolina",1980
"141","GSW","Lorenzo Romar","University of Washington",1980
"142","CHI","Robert Byrd","Marquette University",1980
"143","DEN","Tommy Springer","Vanderbilt University",1980
"144","NJN","Larry Spicer","University of Alabama at Birmingham",1980
"145","SDC","Paul Anderson","University of Southern California",1980
"146","IND","Charles Naddaff","Lafayette College",1980
"147","CLE","Leroy Berry","Wilmington College",1980
"148","POR","Gig Sims","University of California, Los Angeles",1980
"149","DAL","Tony Forch","Midwestern State University",1980
"150","NYK","Bobby Turner","University of Louisville",1980
"151","WSB","Karl Godine","Stephen F. Austin State University",1980
"152","HOU","Joe Nehls","University of Arizona",1980
"153","SAS","Allan Zahn","University of Arkansas",1980
"154","KCK","Arnold McDowell","Montana State University",1980
"155","MIL","Ron White","Furman University",1980
"156","ATL","Charles Hightower","Dillard University",1980
"157","PHO","Ron Williams","University of Montana-Western",1980
"158","SEA","Carl Ervin","Seattle University",1980
"159","PHI","Richard Smith","Weber State University",1980
"160","BOS","Les Hanson","Virginia Polytechnic Institute and State University",1980
"161","DET","Leroy Loggins","Fairmont State University",1980
"162","GSW","Kurt Kanaskie","La Salle University",1980
"163","UTA","Jim Brandon","Saint Peter's College",1980
"164","CHI","Modzel Greer","North Park University",1980
"165","NJN","Lloyd Terry","University of New Orleans",1980
"166","CLE","Jim Ellinghausen","Ohio State University",1980
"167","IND","Steve Stielper","James Madison University",1980
"168","POR","John Stroeder","University of Montana",1980
"169","DAL","Clarence Kea","Lamar University",1980
"170","WSB","Rich Valavicious","Auburn University",1980
"171","NYK","James Salters","University of Pennsylvania",1980
"172","SAS","Bill Bailey","University of Texas-Pan American",1980
"173","HOU","Rosie Barnes","Bowling Green State University",1980
"174","MIL","Keith Valentine","Virginia Union University",1980
"175","PHO","Jim Conolly","La Salle University",1980
"176","SEA","Al Dutch","Georgetown University",1980
"177","PHI","Martin Lemelle","Grambling State University",1980
"178","LAL","Melvin Hooker","Edinboro University of Pennsylvania",1980
"179","BOS","Steve Wright","Boston University",1980
"180","DET","Terry Dupris","Huron University",1980
"181","UTA","Paul Renfro","University of Texas at Arlington",1980
"182","GSW","Billy Reid","University of San Francisco",1980
"183","CHI","Jay Shidler","University of Kentucky",1980
"184","DEN","Jim Graziano","University of South Carolina",1980
"185","NJN","Barry Young","Colorado State University",1980
"186","IND","Scott Rogers","Kenyon College",1980
"187","CLE","Melvin Crafter","Central State University",1980
"188","POR","Rich Boucher","University of Maine",1980
"189","DAL","Ken Williams","University of Houston",1980
"190","NYK","Don Wiley","Monmouth University",1980
"191","WSB","Clinton Wyatt","Alcorn State University",1980
"192","SAS","Al Williams","University of North Texas",1980
"193","KCK","Charley Cole","Delta State University",1980
"194","MIL","Del Yarbrough","Illinois State University",1980
"195","ATL","Stanley Lamb","Franciscan University of Steubenville",1980
"196","PHO","Keith French","North Park University",1980
"197","SEA","Jim Tillman","Eastern Kentucky University",1980
"198","PHI","Luke Griffin","Saint Joseph's University",1980
"199","BOS","Brian Jung","Northwestern University",1980
"200","GSW","Tim Higgins","University of Nebraska at Kearney",1980
"201","UTA","Leroy Coleman","Middle Tennessee State University",1980
"202","DEN","Earl Sango","Regis University",1980
"203","CHI","Billy Foster","Montana State University, Billings",1980
"204","IND","John Bates","West Virginia Wesleyan College",1980
"205","POR","Dave Kufeld","Yeshiva University",1980
"206","DAL","Tom Morgan","California State University, Fullerton",1980
"207","WSB","Don Youman","Oklahoma State University",1980
"208","NYK","Gerald Ross","Grand Canyon University",1980
"209","SAS","Steve Schall","University of Arkansas",1980
"210","MIL","Melvin Crayton","Alabama State University",1980
"211","PHO","Randy Carroll","University of Kansas",1980
"212","SEA","Kent Williams","Texas Tech University",1980
"213","PHI","Joe Hand","King's College",1980
"214","BOS","John Nolan","Providence College",1980
"1","DAL","Mark Aguirre","DePaul University",1981
"2","DET","Isiah Thomas","Indiana University",1981
"3","NJN","Buck Williams","University of Maryland",1981
"4","ATL","Al Wood","University of North Carolina",1981
"5","SEA","Danny Vranes","University of Utah",1981
"6","CHI","Orlando Woolridge","University of Notre Dame",1981
"7","KCK","Steve Johnson","Oregon State University",1981
"8","SDC","Tom Chambers","University of Utah",1981
"9","DAL","Rolando Blackman","Kansas State University",1981
"10","NJN","Albert King","University of Maryland",1981
