"Player","Pos","Season","Age","Tm","effMin","eff3PA","eff3PM","eff2PA","eff2PM","effFTA","effFTM","effORB","effDRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Bobby Simmons","PF","2009-2010",29,"NJN",0.358333333333333,0.00191435053885423,0.000638116846284742,0.00163074305161656,0.000709018718094158,0.000638116846284742,0.000567214974475326,0.000354509359047079,0.00163074305161656,0.00049631310266591,0.00049631310266591,0.0000709018718094158,0.000567214974475326,0.00163074305161656,0.00375779920589904,0.907869377646522,43.4199539292575
"Bobby Simmons","SF","2010-2011",30,"SAS",0.166666666666667,0.00228658536585366,0,0,0,0,0,0,0,0.00152439024390244,0,0,0,0.00152439024390244,0,-18.059433769251,41.4645480627234
"Bobby Simmons","SF","2011-2012",31,"LAC",0.310416666666667,0.00171877557701752,0.000572925192339172,0.000900311016532984,0.000245539368145359,0.000245539368145359,0.0000818464560484531,0.000491078736290719,0.00114585038467834,0.000327385824193812,0.000409232280242266,0.0000818464560484531,0.000327385824193812,0.0012276968407268,0.00237354722540514,8.29161419550889,13.3001134038337
"Bojan Bogdanovic","SF","2014-2015",25,"BRK",0.495833333333333,0.00169092027054724,0.000614880098380816,0.00210084033613445,0.00112728018036483,0.000717360114777618,0.000563640090182414,0.000307440049190408,0.00107604017216643,0.000461160073785612,0.000204960032793605,0.0000512400081984013,0.000512400081984013,0.000666120106579217,0.00461160073785612,5.43146675557623,24.6726562072358
"Bojan Bogdanovic","SF","2016-2017",27,"TOT",0.535416666666667,0.00227768814653127,0.000854133054949227,0.00265730283761982,0.00137610325519598,0.00142355509158204,0.00128119958242384,0.000237259181930341,0.00142355509158204,0.000664325709404954,0.000189807345544273,0.0000474518363860681,0.00075922938217709,0.000854133054949227,0.00650090158489133,-5.81232331499978,29.6483659446032
"Bojan Bogdanovic","SF","2015-2016",26,"BRK",0.558333333333333,0.00195668001456134,0.000728066982162359,0.00236621769202767,0.00113760465962869,0.000773571168547506,0.000637058609392064,0.000227520931925737,0.00127411721878413,0.000591554423006917,0.00018201674554059,0.0000455041863851474,0.000682562795777212,0.000682562795777212,0.00509646887513651,5.42241179521073,24.9534615307079
"Bonzi Wells","SF","1999-2000",23,"POR",0.366666666666667,0.000554323725055432,0.000207871396895787,0.00450388026607539,0.00228658536585366,0.00138580931263858,0.000900776053215078,0.000831485587583148,0.00110864745011086,0.00103935698447894,0.00069290465631929,0.000138580931263858,0.00103935698447894,0.00159368070953437,0.00609756097560976,-16.5831654982531,-4.062006596636
"Bonzi Wells","SF","2000-2001",24,"POR",0.554166666666667,0.000320924261874198,0.0000916926462497708,0.00412616908123968,0.00224646983311938,0.00146708233999633,0.000962772785622593,0.000733541169998166,0.00151292866312122,0.00128369704749679,0.00059600220062351,0.000137538969374656,0.00105446543187236,0.00123785072437191,0.00582248303686044,-15.9454554648156,-3.91100682832811
"Bonzi Wells","SG","2001-2002",25,"POR",0.660416666666667,0.000884819573747788,0.000346233746249134,0.00450103870123875,0.00219281372624452,0.00150034623374625,0.00111564207124721,0.000615526659998461,0.00169269831499577,0.00107717165499731,0.000577056243748557,0.000115411248749711,0.0010002308224975,0.00107717165499731,0.00653997076248365,9.10994920557713,-18.593369770369
"Bonzi Wells","SG","2002-2003",26,"POR",0.664583333333333,0.000649896781099472,0.00019114611208808,0.00439636057802584,0.00202614878813365,0.00160562734153987,0.00114687667252848,0.000496979891429008,0.00149093967428703,0.00126156433978133,0.000611667558681857,0.0000764584448352321,0.00110864745011086,0.00110864745011086,0.00581084180747764,9.18609708341565,-18.6788982011831
"Bonzi Wells","SG","2003-2004",27,"TOT",0.541666666666667,0.000469043151969981,0.000140712945590994,0.0050656660412758,0.00220450281425891,0.00117260787992495,0.000891181988742964,0.000515947467166979,0.00117260787992495,0.000891181988742964,0.000609756097560976,0.000140712945590994,0.00103189493433396,0.00126641651031895,0.00576923076923077,8.84578319112428,-19.0434558607001
"Bonzi Wells","SG","2004-2005",28,"MEM",0.45,0.000846883468834688,0.000282294489611563,0.00417795844625113,0.00191960252935863,0.00152439024390244,0.00112917795844625,0.000395212285456188,0.00146793134598013,0.000677506775067751,0.000677506775067751,0.00022583559168925,0.000733965672990063,0.0013550135501355,0.00587172538392051,-0.284091424576581,0.479832011820174
"Bonzi Wells","SG","2005-2006",29,"SAC",0.675,0.000338753387533875,0.0000752785305630834,0.00410267991568805,0.00199488105992171,0.00139265281541704,0.000940981632038543,0.00101626016260163,0.00188196326407709,0.00105389942788317,0.000677506775067751,0.000188196326407709,0.000903342366757001,0.00112917795844625,0.00511894007828967,-10.6854202382546,-10.0211777718976
"Bonzi Wells","SF","2006-2007",30,"HOU",0.439583333333333,0.000173390359496012,0,0.00410357184140562,0.00173390359496012,0.00167610680846145,0.000924748583978731,0.000520171078488036,0.0019650907409548,0.000635764651485377,0.000520171078488036,0.000288983932493353,0.00115593572997341,0.00127152930297075,0.00450814934689631,-9.06736290643862,-11.8517289480987
"Bonzi Wells","SG","2007-2008",31,"TOT",0.445833333333333,0.000398905858217461,0.000113973102347846,0.00404604513334853,0.00188055618873946,0.00176658308639161,0.00113973102347846,0.000683838614087075,0.00193754273991338,0.000740825165260998,0.00056986551173923,0.000227946204695692,0.000797811716434921,0.00125370412582631,0.00518577615682699,-7.21225919492661,-10.4557119848332
"Boris Diaw","SG","2003-2004",21,"ATL",0.527083333333333,0.000144606189144895,0.0000482020630482985,0.00183167839583534,0.000867637134869372,0.000578424756579582,0.000337414441338089,0.000723030945724477,0.00144606189144895,0.00115684951315916,0.000385616504386388,0.000241010315241492,0.000819435071821074,0.00120505157620746,0.00216909283717343,-9.19334722643313,-5.72475462366119
"Boris Diaw","SG","2004-2005",22,"ATL",0.379166666666667,0.000536049316537122,0.0000670061645671402,0.00247922808898419,0.00113910479764138,0.000804073974805682,0.000603055481104262,0.000536049316537122,0.00120611096220852,0.00154114178504422,0.000402036987402841,0.000201018493701421,0.000871080139372822,0.00127311712677566,0.00321629589922273,28.8611681870273,7.18467708903336
